# y_exit	z_exit	x_start	y_start	z_start	px_start	py_start	pz_start	reflCoCl	reflClCl	wl	gpsPosX	length_core	length_clad	rayleighScatterings
0.09032154	-0.28564668	2199.89697266	0.13030992	-0.12678713	0.99082446	-0.05586515	0.12306893	1409.00000000	0.00000000	483.36734009	2200.00000000	2220.29443359	0.00000000	0.00000000
0.10306839	0.03146231	2200.03442383	-0.06530367	0.07420265	0.99943304	-0.02911938	-0.01690114	713.00000000	0.00000000	462.22039795	2200.00000000	2201.27441406	0.00000000	0.00000000
-0.17438711	0.18884109	2200.03625488	-0.11310165	0.10987488	0.93249643	0.22017400	-0.28631067	4174.00000000	0.00000000	442.47351074	2200.00000000	2359.24316406	0.00000000	0.00000000
-0.10180712	0.01311765	2200.00781250	-0.07757334	0.04753326	0.98917580	0.13955568	0.04533732	1908.00000000	0.00000000	477.50268555	2200.00000000	2224.12670898	0.00000000	0.00000000
-0.09597990	0.21071044	2200.06304932	-0.10848256	0.13363262	0.90154976	0.07153814	0.42672038	0.00000000	4365.00000000	511.79431152	2200.00000000	2087.46020508	329.29815674	0.00000000
0.02111074	0.00695619	1951.87280273	-0.08690182	0.06253132	0.97346878	-0.17372051	0.14892864	2093.00000000	0.00000000	495.75003052	2200.00000000	2005.04028320	0.00000000	0.00000000
0.07016333	-0.12920719	2200.10913086	0.04611489	-0.15206325	0.80362260	-0.16186634	-0.57270408	21662.00000000	0.00000000	483.34686279	2200.00000000	2737.92602539	0.00000000	0.00000000
0.24819373	-0.00339977	2200.05865479	0.27995458	-0.03180169	0.94798821	-0.23742360	-0.21201038	3464.00000000	0.00000000	493.85144043	2200.00000000	2320.64794922	0.00000000	0.00000000
0.07856028	-0.07478220	2199.93774414	0.10127766	-0.03362903	0.98891950	-0.09885195	-0.11075437	3298.00000000	0.00000000	501.76034546	2200.00000000	2224.51757812	0.00000000	0.00000000
-0.08343511	0.03284705	2200.07220459	-0.06289237	-0.07629120	0.96229976	-0.26240277	-0.07158208	3306.00000000	0.00000000	504.32254028	2200.00000000	2286.26074219	0.00000000	0.00000000
0.03068734	0.07750054	2200.04003906	0.08521029	0.01094744	0.87982082	0.22316785	-0.41965628	7913.00000000	0.00000000	457.38104248	2200.00000000	2500.48413086	0.00000000	0.00000000
0.12920880	-0.10169756	2200.01873779	0.10472301	-0.29716384	0.80624193	-0.34398055	0.48130167	0.00000000	8331.00000000	483.98107910	2200.00000000	2188.24780273	503.90710449	0.00000000
-0.05231653	-0.01610257	2200.00085449	-0.04466141	-0.08616222	0.99346328	0.00166050	-0.11413991	1265.00000000	0.00000000	470.10638428	2200.00000000	2214.45898438	0.00000000	0.00000000
-0.10406850	-0.02040938	2200.29418945	0.06041555	0.07321087	0.92413914	0.04182245	0.37976003	4694.00000000	0.00000000	467.81005859	2200.00000000	2380.92944336	0.00000000	0.00000000
-0.03977438	-0.00067556	2199.90032959	0.09161955	-0.01263605	0.97750765	-0.20985669	-0.02095032	2200.00000000	0.00000000	454.30929565	2200.00000000	2250.53442383	0.00000000	0.00000000
-0.07143942	0.07640998	2200.00494385	-0.03470304	0.04895744	0.97628307	0.17666021	-0.12514985	2254.00000000	0.00000000	514.81359863	2200.00000000	2253.43505859	0.00000000	0.00000000
0.01368602	-0.10246350	2199.99951172	-0.01444718	0.06457586	0.92309994	-0.35823080	-0.13984692	5181.00000000	0.00000000	487.42343140	2200.00000000	2383.29125977	0.00000000	0.00000000
-0.02754574	-0.09743559	2200.01324463	-0.06575472	0.08363385	0.98021156	-0.06286271	-0.18770611	3429.00000000	0.00000000	487.38308716	2200.00000000	2244.43408203	0.00000000	0.00000000
0.01726613	0.10922225	2200.00665283	-0.03749317	0.00561549	0.92286348	0.09798438	-0.37245417	0.00000000	2408.00000000	465.57348633	2200.00000000	1274.21936035	1033.22778320	0.00000000
-0.09029362	-0.03354505	2165.71038818	0.09527595	0.03366718	0.86973643	0.00592661	-0.49348092	11319.00000000	0.00000000	479.92541504	2200.00000000	2489.95361328	0.00000000	0.00000000
-0.07826859	-0.01773132	2199.82073975	-0.05715543	0.00407929	0.90924770	0.39716727	0.12460649	0.00000000	4072.00000000	456.89709473	2200.00000000	2083.81054688	312.24142456	0.00000000
-0.02388929	0.10424268	2199.99511719	0.06012160	-0.05373228	0.93359739	-0.32358411	-0.15391302	5207.00000000	0.00000000	489.30892944	2200.00000000	2356.45361328	0.00000000	0.00000000
0.09906731	0.00380654	2200.03735352	0.03464472	-0.05901833	0.95941836	0.11504223	0.25745237	3408.00000000	0.00000000	479.40267944	2200.00000000	2293.13842773	0.00000000	0.00000000
-0.02199266	-0.05785041	2199.90191650	0.02254097	0.07995405	0.93294996	-0.08251340	0.35042250	4147.00000000	0.00000000	496.05743408	2200.00000000	2358.01831055	0.00000000	0.00000000
0.04923864	-0.08252247	2199.94653320	0.09437593	0.04057038	0.89795685	0.01967181	-0.43964362	10070.00000000	0.00000000	533.03070068	2200.00000000	2449.77050781	0.00000000	0.00000000
0.03048515	-0.05108526	2199.99560547	0.01132403	-0.06083165	0.94073594	-0.07616303	-0.33047700	3700.00000000	0.00000000	464.75805664	2200.00000000	2338.46826172	0.00000000	0.00000000
0.01342725	-0.03882088	2200.08093262	-0.05369600	0.00274269	0.88453341	0.32005942	0.33935618	0.00000000	5029.00000000	560.73144531	2200.00000000	2190.96826172	277.30538940	0.00000000
-0.31937918	0.20236786	2200.15075684	-0.35050702	0.28344274	0.83167201	-0.55017203	0.07504916	0.00000000	6672.00000000	474.59179688	2200.00000000	1735.82250977	847.26574707	0.00000000
0.03810176	0.02722224	2199.98950195	-0.02624776	-0.00659453	0.95394802	0.20917813	-0.21500623	3218.00000000	0.00000000	457.78408813	2200.00000000	2306.11791992	0.00000000	0.00000000
-0.04861495	0.09773960	2199.92950439	0.08302647	-0.04466261	0.90055424	-0.36240172	-0.24013972	7367.00000000	0.00000000	494.99426270	2200.00000000	2442.60522461	0.00000000	0.00000000
0.11524066	0.11677554	2199.97869873	0.10969803	0.11325648	0.82936257	0.55691934	0.04470527	12618.00000000	0.00000000	492.48602295	2200.00000000	2652.48022461	0.00000000	0.00000000
0.07586967	-0.04279865	2199.97406006	0.07355593	-0.00437223	0.87010908	-0.38065493	0.31306863	0.00000000	5432.00000000	475.99096680	2200.00000000	2232.20629883	275.99026489	0.00000000
0.07384492	-0.06655386	2200.00231934	0.01297162	0.09651881	0.97479939	-0.22141822	0.02720606	4921.00000000	0.00000000	515.51531982	2200.00000000	2256.85815430	0.00000000	0.00000000
-0.07384683	-0.04142798	2199.98876953	0.07870709	-0.01754189	0.92399484	0.16808927	-0.34348142	5048.00000000	0.00000000	444.31088257	2200.00000000	2381.02880859	0.00000000	0.00000000
-0.09813561	0.03992803	2199.96343994	0.09976768	-0.03212534	0.85586858	0.11516218	-0.50420892	10536.00000000	0.00000000	490.87567139	2200.00000000	2570.47875977	0.00000000	0.00000000
0.18677919	-0.30585971	2199.97833252	0.04586754	-0.16259181	0.81228280	-0.24820925	-0.52781510	19894.00000000	0.00000000	462.11840820	2200.00000000	2708.51391602	0.00000000	0.00000000
-0.15901254	-0.31594953	2200.11083984	-0.09866217	-0.10743527	0.87837958	-0.36529556	0.30823445	15011.00000000	0.00000000	477.29708862	2200.00000000	2505.06762695	0.00000000	0.00000000
-0.09501342	-0.01627611	2200.00280762	-0.02536348	-0.09367214	0.88843596	-0.06662466	0.45413947	0.00000000	4846.00000000	490.65704346	2200.00000000	2169.02685547	286.61557007	0.00000000
0.08060202	0.02477287	2200.04571533	0.01735368	0.00500286	0.96832752	-0.24957089	-0.00749671	2581.00000000	0.00000000	588.46643066	2200.00000000	2271.97509766	0.00000000	0.00000000
0.06842636	0.04263045	2200.00799561	0.01971136	-0.02538268	0.88855076	-0.06534973	0.45410013	0.00000000	4690.00000000	443.28414917	2200.00000000	2210.57495117	246.61785889	0.00000000
-0.01765212	0.00398126	2199.99066162	0.04759024	0.07704224	0.98757482	-0.09531341	-0.12494540	1596.00000000	0.00000000	542.43652344	2200.00000000	2227.68334961	0.00000000	0.00000000
0.02515659	-0.08142252	2199.79370117	0.09882781	0.04064337	0.89729661	-0.43784472	-0.05613232	0.00000000	4480.00000000	469.79159546	2200.00000000	2152.91333008	278.18658447	0.00000000
-0.06834093	-0.47467250	2199.92736816	0.00318359	-0.31050465	0.87157744	0.39910087	-0.28473020	9577.00000000	0.00000000	463.70391846	2200.00000000	2523.91601562	0.00000000	0.00000000
-0.05490182	0.02766195	2199.98724365	-0.00524406	0.00874198	0.93456912	-0.22568378	0.27504075	3807.00000000	0.00000000	460.85140991	2200.00000000	2354.02636719	0.00000000	0.00000000
0.05316793	-0.06081403	2200.03643799	-0.07547791	-0.02429223	0.91080993	0.33977947	0.23446798	0.00000000	4014.00000000	499.17462158	2200.00000000	2089.00561523	304.52932739	0.00000000
-0.10775667	0.19199738	2199.96966553	-0.12811401	0.13374843	0.87443757	0.25316048	-0.41384625	0.00000000	5221.00000000	449.41076660	2200.00000000	2243.19873047	253.64707947	0.00000000
-0.05483370	0.05055713	2199.97845459	0.03369463	0.03302632	0.97312373	-0.20737125	0.10013688	2586.00000000	0.00000000	455.30978394	2200.00000000	2260.77246094	0.00000000	0.00000000
