# y_exit	z_exit	x_start	y_start	z_start	px_start	py_start	pz_start	reflCoCl	reflClCl	wl	gpsPosX	length_core	length_clad	rayleighScatterings
-0.01359177	-0.00685931	1299.98179245	0.08347375	0.07064613	0.98924357	-0.09902018	-0.10766697	880.00000000	0.00000000	483.68325806	1300.00000000	1314.12561035	0.00000000	0.00000000
0.00965865	0.07815426	1299.99864197	0.06230118	-0.03369501	0.91769445	0.31855768	-0.23739827	0.00000000	2205.00000000	452.85519409	1300.00000000	1192.65307617	208.33366394	0.00000000
-0.01145057	0.10330510	1299.92427826	0.09002453	0.05883304	0.99898094	-0.04511386	0.00135887	322.00000000	0.00000000	501.19125366	1300.00000000	1301.25134277	0.00000000	0.00000000
-0.08624543	-0.04637467	1300.00830078	-0.04411375	0.06430307	0.92280608	-0.33266094	-0.19433379	3489.00000000	0.00000000	539.05438232	1300.00000000	1408.72692871	0.00000000	0.00000000
-0.02323377	-0.03666180	1299.99013519	-0.02506208	0.04786312	0.90939957	-0.04025073	-0.41397142	0.00000000	2390.00000000	504.64822388	1300.00000000	1230.04870605	186.15876770	0.00000000
0.05194219	0.03807700	1299.99843597	-0.00457523	0.03176421	0.91320431	-0.40516233	-0.04360461	0.00000000	2386.00000000	608.84606934	1300.00000000	1220.45422363	190.34428406	0.00000000
0.01679236	-0.00050624	1299.99129105	0.05372669	-0.06491239	0.98369372	0.13949773	-0.11352122	1093.00000000	0.00000000	542.02111816	1300.00000000	1321.52575684	0.00000000	0.00000000
-0.04306885	0.01722152	1300.06328583	-0.02940305	-0.01826205	0.94759518	-0.23350796	0.21803069	2091.00000000	0.00000000	517.27111816	1300.00000000	1371.96325684	0.00000000	0.00000000
0.33718872	0.06451131	1300.01185226	0.23155156	0.09198888	0.90238625	0.42132485	-0.09046757	4159.00000000	0.00000000	485.86532593	1300.00000000	1440.58703613	0.00000000	0.00000000
-0.02612308	0.06330568	1300.01225281	0.01447801	0.10126372	0.88498014	-0.34184977	-0.31614697	0.00000000	2968.00000000	478.67001343	1300.00000000	1105.71179199	338.52209473	0.00000000
0.06737281	0.02597354	1299.99742126	-0.04945540	0.04496193	0.93979716	-0.28450677	-0.18930721	1677.00000000	0.00000000	508.05511475	1300.00000000	1338.75183105	0.00000000	1.00000000
-0.00063726	-0.02815920	1300.04719543	-0.01449749	0.07499393	0.99811733	-0.03135659	0.05271244	374.00000000	0.00000000	455.29385376	1300.00000000	1302.49267578	0.00000000	0.00000000
-0.03783330	-0.04981494	1300.00938416	0.04724275	0.03216926	0.85809439	-0.40288374	0.31836879	0.00000000	3520.00000000	437.32864380	1300.00000000	1309.44055176	190.92285156	0.00000000
0.07994930	0.05605574	1300.00094986	0.07484183	0.06728262	0.88061434	-0.20213243	0.42855668	6600.00000000	0.00000000	443.62567139	1300.00000000	1476.15795898	0.00000000	0.00000000
