# y_exit	z_exit	x_start	y_start	z_start	px_start	py_start	pz_start	reflCoCl	reflClCl	wl	gpsPosX	length_core	length_clad	rayleighScatterings
0.11740281	-0.00440062	700.00292969	0.06865709	-0.03238421	0.88895237	0.07609120	-0.45163465	0.00000000	1564.00000000	496.86221313	700.00000000	606.09313965	169.17733765	0.00000000
-0.02393690	0.07981016	700.05291748	-0.01516883	0.02888810	0.98798490	0.07176106	-0.13688028	498.00000000	0.00000000	434.20663452	700.00000000	708.56481934	0.00000000	0.00000000
0.02022188	-0.07339206	700.00012207	0.04425998	-0.03462851	0.97743535	0.10048319	-0.18580425	703.00000000	0.00000000	437.12756348	700.00000000	716.15679932	0.00000000	0.00000000
-0.47375998	0.06486812	699.89001465	-0.47788283	0.01711904	0.92644715	-0.22038628	-0.30516481	1439.00000000	0.00000000	436.25329590	700.00000000	755.45312500	0.00000000	0.00000000
-0.03752364	0.09940194	700.01306152	0.10603192	0.02272814	0.87364197	0.05898564	0.48298073	4882.00000000	0.00000000	524.98889160	700.00000000	801.21484375	0.00000000	0.00000000
-0.05810444	0.08964651	700.03802490	0.06832223	-0.07789221	-0.92175400	-0.04985343	-0.38455713	5641.00000000	0.00000000	512.23596191	700.00000000	1910.29907227	0.00000000	1.00000000
0.02425346	0.08536010	699.98321533	0.01720150	0.08900836	0.83718371	0.54648405	0.02187574	3482.00000000	0.00000000	452.84976196	700.00000000	836.10198975	0.00000000	0.00000000
0.05510265	0.03084050	700.01385498	-0.02144665	-0.01353899	0.96430510	-0.18719901	0.18727577	897.00000000	0.00000000	557.19287109	700.00000000	725.92864990	0.00000000	0.00000000
-0.03890941	0.01098096	700.00341797	0.02256357	0.03931655	0.93658459	0.16080830	-0.31136799	1269.00000000	0.00000000	550.43560791	700.00000000	747.38800049	0.00000000	0.00000000
-0.04194484	0.09005259	700.00445557	0.04136041	-0.02961060	0.91561490	-0.39881879	0.05092037	0.00000000	1162.00000000	466.65417480	700.00000000	645.24810791	111.05254364	0.00000000
0.30580804	0.00040487	700.06451416	0.28705034	0.03239106	0.91862726	-0.24276590	-0.31175089	0.00000000	1153.00000000	508.33575439	700.00000000	655.19000244	99.77737427	0.00000000
0.05312567	-0.03047477	699.99279785	0.02120963	0.02021286	0.97813821	-0.19114712	-0.08190465	679.00000000	0.00000000	590.72766113	700.00000000	715.64068604	0.00000000	0.00000000
0.03597639	-0.09867749	1480.23397827	0.00255526	0.07327705	0.99389309	0.04857275	-0.09908199	787.00000000	0.00000000	443.80172729	700.00000000	1489.33642578	0.00000000	0.00000000
-0.00343254	0.03918050	700.02160645	0.05652916	0.04378258	0.91963685	-0.23771301	-0.31266689	0.00000000	1129.00000000	482.75021362	700.00000000	638.36547852	114.49066162	0.00000000
