# y_exit	z_exit	x_start	y_start	z_start	px_start	py_start	pz_start	reflCoCl	reflClCl	wl	gpsPosX	length_core	length_clad	rayleighScatterings
0.09718627	-0.04838001	1000.03523254	-0.02607404	0.01066151	0.92888767	-0.05935046	0.36557519	0.00000000	1309.00000000	538.95336914	1000.00000000	796.71496582	261.62640381	0.00000000
-0.01448905	-0.07540596	1000.00392151	-0.02539021	0.01075727	0.98555779	-0.00644713	-0.16921651	803.00000000	0.00000000	449.13076782	1000.00000000	1014.66436768	0.00000000	0.00000000
-0.08154705	-0.06792243	1000.00132751	0.10179728	-0.00757342	0.99470693	0.02163741	0.10044897	1192.00000000	0.00000000	440.64410400	1000.00000000	1005.33111572	0.00000000	0.00000000
-0.09701808	0.00608051	999.97709656	-0.08212627	-0.01795229	0.97482991	0.04122244	0.21910572	1463.00000000	0.00000000	452.57772827	1000.00000000	1025.78869629	0.00000000	0.00000000
-0.03635686	-0.02822813	1000.01524353	0.03536534	0.09448014	0.88046455	0.33303526	0.33744586	0.00000000	2309.00000000	435.15356445	1000.00000000	991.91638184	133.60813904	0.00000000
-0.06725829	0.00348374	999.99938965	-0.01512452	-0.08954147	0.93420929	-0.27031156	-0.23277605	2043.00000000	0.00000000	534.75665283	1000.00000000	1070.43334961	0.00000000	0.00000000
-0.04783596	0.00358363	1000.01295471	-0.01003288	-0.06657328	0.92862672	0.29932293	0.21922171	2016.00000000	0.00000000	467.17630005	1000.00000000	1076.88659668	0.00000000	0.00000000
-0.00969807	0.00644834	999.99975586	-0.05880832	0.04098783	0.92775929	0.32505029	-0.18331683	0.00000000	1364.00000000	456.71868896	1000.00000000	773.36676025	283.31390381	0.00000000
0.04522359	0.07766248	999.97660828	-0.03843929	0.07021339	-0.99404407	-0.09645557	0.05072224	805.00000000	5260.00000000	502.58166504	1000.00000000	4000.82934570	258.23992920	1.00000000
-0.11042625	-0.25282907	1000.12658691	-0.16404997	-0.23591085	0.95821422	-0.22601558	-0.17533529	1359.00000000	0.00000000	449.13116455	1000.00000000	1043.74145508	0.00000000	0.00000000
-0.01003489	0.04405991	999.89790344	0.04947796	0.00593615	0.89349246	0.28121278	0.35012937	0.00000000	2112.00000000	454.18887329	1000.00000000	974.68902588	134.34516907	0.00000000
-0.09838812	0.00498675	1000.04376221	0.04801107	0.05139309	0.89909816	-0.34094664	-0.27455032	0.00000000	2002.00000000	530.06445312	1000.00000000	992.99963379	111.47165680	0.00000000
-0.02984975	-0.01811445	999.99484253	-0.04050297	0.01889532	0.90654176	0.41866204	0.05388963	0.00000000	1899.00000000	480.25158691	1000.00000000	958.59143066	134.68078613	0.00000000
0.02396136	0.08832341	1000.00881958	-0.06307724	-0.08272873	0.97096032	-0.00500725	-0.23918819	1350.00000000	0.00000000	494.18447876	1000.00000000	1029.91137695	0.00000000	0.00000000
-0.36188912	0.03854236	1000.17266846	-0.26018947	-0.05075007	0.93289644	0.15645704	0.32438469	1853.00000000	0.00000000	496.85931396	1000.00000000	1072.09741211	0.00000000	0.00000000
-0.02963236	-0.06656841	999.95892334	0.07615719	-0.06334003	0.99196249	-0.01399224	0.12575638	742.00000000	0.00000000	491.13006592	1000.00000000	1008.06774902	0.00000000	0.00000000
-0.21048656	0.15215039	1000.05050659	-0.17338656	0.11937810	0.97757071	0.21055701	-0.00460410	1710.00000000	0.00000000	496.51931763	1000.00000000	1022.98437500	0.00000000	0.00000000
-0.03827511	-0.24277461	999.82247925	-0.06393392	-0.28557649	0.96722203	-0.22438048	-0.11889029	3243.00000000	0.00000000	487.61846924	1000.00000000	1033.68725586	0.00000000	0.00000000
0.02919089	-0.03263973	1000.00601196	-0.07178649	-0.00963132	0.99958199	0.02480356	0.01485324	136.00000000	0.00000000	502.12286377	1000.00000000	1000.42590332	0.00000000	0.00000000
-0.11459852	0.01960491	1000.01109314	0.05122662	0.07682072	0.83820158	-0.17739551	0.51570237	0.00000000	3126.00000000	429.56076050	1000.00000000	941.36743164	233.61775208	0.00000000
-0.02133176	0.07762595	1000.00053406	-0.09221909	0.03661906	-0.82302117	-0.23717245	-0.51612532	4787.00000000	2819.00000000	470.22180176	1000.00000000	2339.49267578	257.76315308	1.00000000
0.06192099	0.02928085	1000.00875854	0.00363993	-0.07941321	0.87697244	-0.41999167	0.23350871	0.00000000	2363.00000000	464.82296753	1000.00000000	855.40539551	265.23150635	0.00000000
-0.06675400	-0.07842603	999.99798584	-0.10571606	0.01709732	0.96338838	-0.04063452	0.26501250	3360.00000000	0.00000000	507.76126099	1000.00000000	1037.96813965	0.00000000	0.00000000
0.08011645	0.03565957	999.99478149	-0.05558442	0.05514460	0.97974497	-0.18252051	0.08237731	960.00000000	0.00000000	440.94992065	1000.00000000	1020.67889404	0.00000000	0.00000000
