# y_exit	z_exit	x_start	y_start	z_start	px_start	py_start	pz_start	reflCoCl	reflClCl	wl	gpsPosX	length_core	length_clad	rayleighScatterings
0.02864027	-0.00137277	800.04589844	0.03928683	0.07811052	0.93724197	-0.24937806	-0.24369669	1400.00000000	0.00000000	578.62286377	800.00000000	853.62481689	0.00000000	0.00000000
-0.04412662	0.05738854	799.99395752	0.05878978	-0.04285164	0.95452672	0.20132537	0.21987903	1507.00000000	0.00000000	451.07827759	800.00000000	838.10314941	0.00000000	0.00000000
-0.09749584	0.28552341	799.99496460	-0.10639314	0.10662251	0.83292574	-0.52153426	0.18503177	3867.00000000	0.00000000	531.20874023	800.00000000	960.47247314	0.00000000	0.00000000
-0.07801125	0.27576768	799.94622803	-0.17075995	0.29159364	0.88659495	0.42080811	0.19201553	3237.00000000	0.00000000	465.47393799	800.00000000	902.27685547	0.00000000	0.00000000
-0.06131756	0.08774871	800.01376343	-0.08157113	0.04587441	0.83063650	0.28531250	0.47816288	4635.00000000	0.00000000	472.55194092	800.00000000	963.16333008	0.00000000	0.00000000
-0.03189036	0.03727369	800.01937866	0.02214849	-0.03398507	0.98358536	0.10062780	0.14977956	709.00000000	0.00000000	454.86358643	800.00000000	813.37786865	0.00000000	0.00000000
-0.28719229	0.08079102	800.07830811	-0.25618961	0.09021591	0.79021102	-0.47044483	0.39274442	0.00000000	3279.00000000	466.74050903	800.00000000	791.73327637	205.53744507	0.00000000
-0.01265998	0.01098198	800.01013184	-0.07226790	-0.00527043	0.91811568	0.39483958	-0.03413725	0.00000000	1359.00000000	488.66198730	800.00000000	742.21087646	120.41805267	0.00000000
-0.03484543	-0.07721204	800.02862549	-0.05026364	-0.06552766	0.99141145	-0.12272941	0.04517615	688.00000000	0.00000000	495.06732178	800.00000000	806.96081543	0.00000000	0.00000000
0.09231377	0.05735590	800.00274658	-0.03958734	-0.06322465	0.88384825	-0.41250455	0.22057259	2614.00000000	0.00000000	470.84829712	800.00000000	905.11932373	0.00000000	0.00000000
0.08143640	0.06115991	800.00552368	0.05925856	-0.06681700	0.89495498	0.24784493	0.37098312	2928.00000000	0.00000000	458.20687866	800.00000000	893.90509033	0.00000000	0.00000000
-0.10560038	-0.04834671	800.00115967	-0.03287641	-0.07906897	0.92089158	-0.02465966	-0.38903809	0.00000000	1300.00000000	527.22088623	800.00000000	713.72076416	144.81307983	0.00000000
