# y_exit	z_exit	x_start	y_start	z_start	px_start	py_start	pz_start	reflCoCl	reflClCl	wl	gpsPosX	length_core	length_clad	rayleighScatterings
0.05755419	-0.07742766	1800.04913330	-0.01628137	0.05565532	0.93671793	0.13715541	-0.32209921	3064.00000000	0.00000000	502.94024658	1800.00000000	1921.62707520	0.00000000	0.00000000
-0.03671265	-0.06465677	1800.00341797	-0.02838774	0.05959756	0.99909067	0.00907977	0.04165864	376.00000000	0.00000000	454.71969604	1800.00000000	1801.63647461	0.00000000	0.00000000
-0.05916223	0.00929883	1800.18536377	-0.07695609	0.04034032	0.89186418	0.23330171	-0.38749015	0.00000000	3863.00000000	460.66744995	1800.00000000	1723.47460938	274.57250977	0.00000000
-0.07043041	-0.01282761	1799.99871826	0.02710894	0.01378893	0.90522796	-0.36222672	-0.22215796	0.00000000	3376.00000000	485.83242798	1800.00000000	1761.13146973	211.91949463	0.00000000
-0.05524816	-0.06031030	1800.00177002	0.05594289	-0.06282447	0.97049385	0.21260475	0.11375809	3040.00000000	0.00000000	460.94531250	1800.00000000	1854.66674805	0.00000000	0.00000000
-0.05301944	0.08687795	1799.99224854	-0.04351174	0.03677945	0.91712660	-0.25985852	0.30224562	0.00000000	3037.00000000	471.07672119	1800.00000000	1676.78869629	266.25051880	0.00000000
-0.05219620	0.03616168	1800.01562500	0.05909200	0.07704628	0.99583226	-0.01666778	-0.08966768	817.00000000	0.00000000	497.84436035	1800.00000000	1807.56079102	0.00000000	0.00000000
0.07407397	-0.07803966	1800.00018311	0.08473098	0.02423865	0.97667736	-0.06343640	0.20512712	3004.00000000	0.00000000	447.64355469	1800.00000000	1842.96484375	0.00000000	0.00000000
0.07496095	-0.06304304	1800.04821777	-0.09037356	0.02861681	0.99365991	-0.08152367	-0.07742035	1411.00000000	0.00000000	476.59820557	1800.00000000	1811.50012207	0.00000000	0.00000000
0.03619350	-0.05361858	1800.00012207	-0.10322235	0.02607423	0.94886887	-0.31266284	0.04347253	2738.00000000	0.00000000	490.20056152	1800.00000000	1896.95141602	0.00000000	0.00000000
0.07867935	0.05451453	1800.00207520	0.00271353	0.09563592	0.96329868	-0.26385224	0.04937208	4455.00000000	0.00000000	457.33026123	1800.00000000	1868.57775879	0.00000000	0.00000000
0.03125928	-0.02961773	1800.07244873	-0.04110750	0.02510859	0.99818367	-0.05389868	-0.02691185	532.00000000	0.00000000	539.39288330	1800.00000000	1803.35461426	0.00000000	0.00000000
0.06363594	0.17875454	1800.04827881	0.10006708	0.14009872	0.88168240	-0.43151414	-0.19087088	0.00000000	4162.00000000	463.70077515	1800.00000000	1762.60034180	259.74176025	0.00000000
-0.00830256	-0.08867949	1799.98840332	0.01127738	-0.09071530	0.80334884	-0.55308658	0.22073948	0.00000000	6946.00000000	480.07592773	1800.00000000	1757.50939941	450.22909546	0.00000000
0.09242824	-0.06282648	1800.09027100	-0.06199038	0.01946144	0.87619174	0.08530879	-0.47435272	0.00000000	4382.00000000	463.42846680	1800.00000000	1722.53002930	308.90478516	0.00000000
