# y_exit	z_exit	x_start	y_start	z_start	px_start	py_start	pz_start	reflCoCl	reflClCl	wl	gpsPosX	length_core	length_clad	rayleighScatterings
-0.00374300	-0.08873799	299.99523926	-0.03892583	-0.02519899	0.98690569	0.15407842	-0.04771841	235.00000000	0.00000000	492.86166382	300.00000000	303.97634888	0.00000000	0.00000000
-0.01511099	0.08103322	299.99084473	0.07386711	-0.01825351	0.86943108	-0.24454519	-0.42928696	0.00000000	692.00000000	468.28137207	300.00000000	233.91867065	103.48210907	0.00000000
-0.35334817	-0.03185097	299.91723633	-0.26920742	-0.03034908	0.99014229	-0.12226433	0.06833470	197.00000000	0.00000000	511.43005371	300.00000000	302.90319824	0.00000000	0.00000000
-0.02032770	0.02212450	299.97302246	-0.03329482	-0.04186967	0.93857121	-0.07636812	-0.33652925	513.00000000	0.00000000	476.51733398	300.00000000	319.60610962	0.00000000	0.00000000
0.03888456	-0.09203029	299.99761963	0.06283834	-0.08132023	0.99959308	-0.02776029	-0.00656164	74.00000000	0.00000000	474.31399536	300.00000000	300.11984253	0.00000000	0.00000000
-0.72080147	-0.00574168	300.95159912	-0.91572529	0.05274410	0.82494473	0.16982526	0.53909695	2563.00000000	0.00000000	437.56488037	300.00000000	364.80374146	0.00000000	0.00000000
0.01723297	-0.10195931	299.99737549	0.04889249	0.07782592	0.84226757	-0.35935187	0.40181041	1464.00000000	0.00000000	442.91494751	300.00000000	356.17877197	0.00000000	0.00000000
0.01717561	-0.02843568	299.99816895	-0.00160718	0.04149929	0.97452122	-0.17353779	-0.14210236	329.00000000	0.00000000	572.35778809	300.00000000	307.84136963	0.00000000	0.00000000
-0.07434973	-0.16940315	300.01776123	-0.03332356	-0.18837859	0.81106669	-0.48831311	0.32205760	0.00000000	1118.00000000	512.43804932	300.00000000	305.11206055	60.49282455	0.00000000
0.08378400	-0.11730064	476.81384277	0.17961977	-0.28976971	0.88279718	0.41085342	0.22774673	2065.00000000	0.00000000	511.22576904	300.00000000	540.10186768	0.00000000	0.00000000
0.07460085	0.01171641	300.00225830	0.02781633	0.06619312	0.97965837	0.07882272	0.18454385	280.00000000	0.00000000	547.57165527	300.00000000	306.23098755	0.00000000	0.00000000
0.07342109	-0.08708677	299.99694824	0.05904824	0.00639514	0.92036605	-0.33547169	-0.20096052	0.00000000	487.00000000	461.28735352	300.00000000	259.07763672	62.24594879	0.00000000
-0.03776345	-0.04522963	300.01635742	0.08012068	0.03191689	0.99914104	-0.03888475	0.01432335	66.00000000	0.00000000	494.98294067	300.00000000	300.27453613	0.00000000	0.00000000
0.01503383	-0.08919951	299.98828125	0.05212768	0.07814332	0.92019540	-0.38326669	0.07966852	950.00000000	0.00000000	495.05096436	300.00000000	326.00787354	0.00000000	0.00000000
-0.04393768	-0.10043465	300.00854492	-0.10556749	0.01256161	0.93461329	-0.06779440	-0.34914458	1948.00000000	0.00000000	541.24334717	300.00000000	320.99850464	0.00000000	0.00000000
-0.06607698	0.01089350	299.88879395	0.06374207	0.03705073	0.99461532	0.10316753	0.00984240	148.00000000	0.00000000	443.46356201	300.00000000	301.51254272	0.00000000	0.00000000
-0.08517701	-0.00416387	300.00042725	-0.03774010	-0.08904729	0.87698370	0.47683191	0.05942166	1151.00000000	0.00000000	534.04785156	300.00000000	342.08367920	0.00000000	0.00000000
0.04555499	0.10213847	300.02581787	-0.00390450	-0.03004703	0.89431208	0.16654770	-0.41529238	0.00000000	609.00000000	500.69613647	300.00000000	300.30584717	32.82513428	0.00000000
-0.22565839	0.48800039	299.74914551	-0.19204707	0.39010769	0.91017568	-0.03339576	0.41287398	909.00000000	0.00000000	477.67398071	300.00000000	329.33197021	0.00000000	0.00000000
-0.20250107	0.05100014	299.84027100	-0.19336116	0.03867527	0.96679300	0.03021522	-0.25376821	574.00000000	0.00000000	503.88150024	300.00000000	310.13967896	0.00000000	0.00000000
-0.05987366	0.07330392	299.98498535	-0.07701893	-0.00105248	0.88556165	-0.45097217	0.11137652	0.00000000	644.00000000	443.10900879	300.00000000	303.07998657	33.15512085	0.00000000
0.10555618	0.01383089	299.96228027	0.00526568	0.09738687	0.85330313	0.45896697	-0.24743295	1395.00000000	0.00000000	484.10614014	300.00000000	351.52816772	0.00000000	0.00000000
-0.02152395	-0.10841572	300.05072021	0.06187375	-0.06486323	0.76800507	0.38394246	0.51259768	0.00000000	1338.00000000	446.16290283	300.00000000	259.91198730	121.57953644	0.00000000
0.08688343	-0.02008208	300.00012207	0.07681882	0.07762200	0.99943954	0.03347580	0.00012684	65.00000000	0.00000000	466.34613037	300.00000000	300.16857910	0.00000000	0.00000000
-0.07842740	-0.05673810	300.03558350	0.04352618	0.00217548	0.97357315	-0.20619236	-0.09818363	168.00000000	306.00000000	484.65390015	300.00000000	304.83529663	16.66738510	1.00000000
0.00778882	0.00267731	300.02502441	-0.00243583	-0.04022714	0.90669358	0.08880784	0.41233468	0.00000000	574.00000000	469.42529297	300.00000000	290.18487549	37.91721344	0.00000000
-0.12156870	-0.27689070	443.19799805	-0.23993470	-0.18723975	0.97171581	-0.20511124	-0.11703753	632.00000000	0.00000000	470.33779907	300.00000000	456.09655762	0.00000000	0.00000000
-0.04618976	-0.09148058	299.99682617	0.01768778	0.01873543	0.96061647	-0.12634702	0.24749231	404.00000000	0.00000000	457.28155518	300.00000000	312.29547119	0.00000000	0.00000000
0.08034107	0.02895765	300.00036621	-0.01377497	-0.08061995	0.96916497	-0.24353789	-0.03753102	489.00000000	0.00000000	513.46191406	300.00000000	309.54483032	0.00000000	0.00000000
0.02025968	-0.07589855	300.00244141	0.09201560	0.00146216	0.96490234	-0.14610739	-0.21821105	511.00000000	0.00000000	492.37310791	300.00000000	310.91574097	0.00000000	0.00000000
0.04306509	-0.05780115	300.03356934	-0.05818271	0.04785544	0.95443231	0.26548320	0.13629985	548.00000000	0.00000000	573.16375732	300.00000000	314.35668945	0.00000000	0.00000000
0.09852204	0.05543005	299.98461914	0.07549658	-0.00292571	0.85677123	-0.29440925	-0.42339849	0.00000000	854.00000000	448.67147827	300.00000000	291.11456299	54.87962723	0.00000000
0.05068482	0.02442415	300.06286621	-0.09876070	0.01288715	0.91411579	-0.40004399	-0.06600881	0.00000000	508.00000000	461.11230469	300.00000000	274.57864380	49.95843124	0.00000000
0.07286390	-0.03179473	300.00067139	0.02360204	-0.03719725	0.94241953	0.27195144	-0.19464791	490.00000000	0.00000000	433.42599487	300.00000000	318.33102417	0.00000000	0.00000000
0.15864249	-0.14211439	299.97570801	0.16730556	-0.10853695	0.89960915	-0.09839568	0.42546642	0.00000000	593.00000000	461.98318481	300.00000000	266.58807373	62.23619461	0.00000000
-0.06049174	-0.02614922	299.97998047	0.07893308	0.02642607	0.95892918	0.25246850	-0.12928462	480.00000000	0.00000000	453.34140015	300.00000000	312.82861328	0.00000000	0.00000000
0.02904602	-0.09468707	300.00366211	0.08114164	-0.02568308	0.97007030	-0.23602766	0.05704868	341.00000000	0.00000000	474.60284424	300.00000000	309.25839233	0.00000000	0.00000000
-0.09312503	-0.04753961	299.99798584	-0.03840563	-0.09727145	0.81429017	-0.51577348	0.26628792	2996.00000000	0.00000000	441.24752808	300.00000000	368.41146851	0.00000000	0.00000000
-0.07139266	-0.05098456	299.99114990	0.00769314	0.01856687	0.94692081	-0.31602454	-0.05890167	468.00000000	0.00000000	491.25619507	300.00000000	316.80889893	0.00000000	0.00000000
-0.27229050	0.07059395	299.95849609	-0.35397717	-0.01611640	0.91988492	0.21121715	0.33045280	683.00000000	0.00000000	515.51202393	300.00000000	326.08474731	0.00000000	0.00000000
-0.04058005	0.01966593	299.97076416	0.06511358	0.03546103	0.91296726	0.30213732	0.27423322	0.00000000	510.00000000	441.47796631	300.00000000	281.30905151	43.91769028	0.00000000
-0.17243525	0.28316644	299.98010254	-0.14081515	0.12763281	0.90838867	0.41372195	-0.06053257	925.00000000	0.00000000	500.89450073	300.00000000	330.23126221	0.00000000	0.00000000
-0.05814923	-0.10052465	265.17193604	-0.03066372	0.10425650	0.90800768	-0.08049865	-0.41114724	0.00000000	360.00000000	432.28271484	300.00000000	197.72061157	87.58255005	0.00000000
0.09470804	-0.19506222	300.04980469	0.08848114	-0.11913625	0.92640460	0.12587523	-0.35486615	0.00000000	412.00000000	489.07946777	300.00000000	256.38690186	62.94166183	0.00000000
-0.10016481	0.02880723	301.15783691	0.03171535	-0.09979737	0.88668913	-0.42341048	-0.18575788	2215.00000000	0.00000000	481.55926514	300.00000000	339.65167236	0.00000000	0.00000000
0.07071994	0.03091253	299.99334717	-0.06544704	-0.00472881	0.92261887	0.34472573	0.17302787	0.00000000	497.00000000	633.16510010	300.00000000	273.54620361	48.39483643	0.00000000
0.05378750	-0.09111404	300.01550293	0.09807969	-0.04155372	0.84779912	-0.04002379	0.52880502	1674.00000000	0.00000000	472.23226929	300.00000000	353.87078857	0.00000000	0.00000000
0.07446308	-0.00001409	299.98175049	0.01014710	-0.07201575	0.98308682	-0.18309394	0.00411844	335.00000000	0.00000000	422.31481934	300.00000000	305.14248657	0.00000000	0.00000000
-0.01469543	-0.00743461	299.99743652	0.01281327	0.08637396	0.89005435	0.07280032	0.45000374	0.00000000	620.00000000	459.24938965	300.00000000	302.83566284	31.84623909	0.00000000
