# y_exit	z_exit	x_start	y_start	z_start	px_start	py_start	pz_start	reflCoCl	reflClCl	wl	gpsPosX	length_core	length_clad	rayleighScatterings
0.09600779	-0.03067233	2395.47937012	0.00300447	-0.04814972	0.88963723	0.37222722	0.26456094	0.00000000	5264.00000000	462.09313965	2400.00000000	2331.62524414	335.97079468	0.00000000
0.00385476	0.07872689	2399.97521973	-0.08781124	0.02659424	0.81728297	0.14090858	-0.55874264	0.00000000	8697.00000000	537.94897461	2400.00000000	2330.80249023	566.24554443	0.00000000
0.04799472	0.10611807	2400.00256348	0.00939305	0.00842124	0.91502434	-0.21925369	0.33861232	0.00000000	4117.00000000	452.60369873	2400.00000000	2239.76489258	356.35934448	0.00000000
-0.00800217	0.08610216	2400.02783203	-0.02604895	0.05913154	0.99820960	-0.05315850	0.02741957	704.00000000	0.00000000	473.74163818	2400.00000000	2404.32006836	0.00000000	0.00000000
0.07274474	0.03475106	2400.01306152	-0.03588403	0.00417909	0.98603606	0.16089162	-0.04297376	1844.00000000	0.00000000	454.51947021	2400.00000000	2434.00317383	0.00000000	0.00000000
0.07781886	-0.03386111	2400.00463867	0.03756059	0.07442284	0.92555380	-0.37451249	-0.05559325	5682.00000000	0.00000000	545.06066895	2400.00000000	2592.97656250	0.00000000	0.00000000
0.09984548	0.23571630	2400.07128906	0.16162406	0.14565237	0.89601827	0.27762100	-0.34652245	0.00000000	4894.00000000	464.86373901	2400.00000000	2372.21899414	285.23870850	0.00000000
0.01718809	-0.06963990	2400.01062012	0.00361562	0.06090906	0.86649007	0.46785167	0.17409718	0.00000000	6222.00000000	454.44003296	2400.00000000	2369.99121094	371.90841675	0.00000000
-0.04156137	0.02987348	2399.99353027	-0.04834212	0.02385833	0.92530501	-0.03954894	0.37715578	4913.00000000	0.00000000	479.66329956	2400.00000000	2593.82934570	0.00000000	0.00000000
-0.02963912	0.07007015	2400.04589844	-0.09407920	-0.04651988	0.92947567	0.36856729	0.01526880	4695.00000000	0.00000000	539.72418213	2400.00000000	2582.12792969	0.00000000	0.00000000
0.05938061	0.06159707	2400.01135254	0.08802535	0.00700035	0.93475008	-0.06545995	-0.34922385	6559.00000000	0.00000000	480.42248535	2400.00000000	2567.47558594	0.00000000	0.00000000
0.03082446	-0.07338110	2400.00476074	0.03758506	0.10057352	0.99852782	-0.01410019	0.05237699	720.00000000	0.00000000	513.50628662	2400.00000000	2403.53442383	0.00000000	0.00000000
0.07661797	-0.06499027	2400.00292969	-0.04432534	-0.05994910	0.93887645	0.34264696	0.03322804	4630.00000000	0.00000000	503.82476807	2400.00000000	2556.34838867	0.00000000	0.00000000
-0.09064646	-0.02030683	2042.87091064	-0.05045994	0.08294234	0.85774928	0.16547805	0.48670650	0.00000000	5716.00000000	536.26654053	2400.00000000	1827.72851562	517.72930908	0.00000000
-0.06375882	0.02583632	2400.00842285	0.01407022	-0.07138397	0.85109079	0.50679308	-0.13713241	0.00000000	6963.00000000	449.09158325	2400.00000000	2350.24194336	436.78808594	0.00000000
0.03406984	-0.00368430	2400.00988770	-0.05516219	0.03185678	0.95717108	0.26904401	-0.10695243	3311.00000000	0.00000000	475.46719360	2400.00000000	2507.35009766	0.00000000	0.00000000
0.08413298	-0.08179963	2400.00708008	-0.07974201	-0.01241841	0.90136564	0.42601722	-0.07777762	0.00000000	4751.00000000	517.12017822	2400.00000000	2342.20361328	299.22802734	0.00000000
-0.04277001	0.10793360	2400.00207520	0.05682030	0.06372713	0.85157812	-0.20874614	0.48087394	0.00000000	6678.00000000	481.03930664	2400.00000000	1987.00573730	774.93884277	0.00000000
-0.03446719	-0.07601717	2400.00012207	0.10078125	-0.04227533	0.90039420	0.41814044	-0.12020350	0.00000000	4762.00000000	546.00531006	2400.00000000	2376.93457031	269.75015259	0.00000000
-0.00722571	-0.08093555	2399.98779297	0.06145072	-0.07747563	0.87963945	0.47532687	0.01728594	8554.00000000	0.00000000	550.17413330	2400.00000000	2728.57958984	0.00000000	0.00000000
-0.00085998	0.03006675	2399.97277832	0.02900675	-0.03341451	0.95445091	-0.03065818	0.29678881	3505.00000000	0.00000000	449.77456665	2400.00000000	2514.48266602	0.00000000	0.00000000
-0.04227357	0.07012752	2400.04309082	-0.07455852	-0.04091322	0.88448697	0.10556008	-0.45446658	8618.00000000	0.00000000	504.17138672	2400.00000000	2713.50976562	0.00000000	0.00000000
-0.21061772	-0.18526919	2399.87866211	-0.18132299	-0.11693987	0.98216033	0.01057504	0.18774796	2332.00000000	0.00000000	544.11114502	2400.00000000	2443.44140625	0.00000000	0.00000000
0.04908512	-0.10239500	2399.99633789	0.09302265	-0.02914343	0.80084389	0.45082870	0.39421129	0.00000000	9657.00000000	629.03808594	2400.00000000	2313.62036133	640.47802734	0.00000000
-0.00595121	-0.07601526	2399.99218750	-0.03255278	-0.10312627	0.95922393	-0.01945710	0.28197670	3445.00000000	0.00000000	505.33892822	2400.00000000	2502.01684570	0.00000000	0.00000000
0.07280801	-0.02870649	2400.00073242	0.10773051	0.01725327	0.92075652	-0.31288806	0.23304176	6571.00000000	0.00000000	451.68502808	2400.00000000	2606.58496094	0.00000000	0.00000000
0.01975719	0.10331925	2399.94445801	-0.07108159	-0.04269210	0.95717210	0.03191365	-0.28775537	4530.00000000	0.00000000	463.11007690	2400.00000000	2507.27636719	0.00000000	0.00000000
-0.04266455	0.10111357	2399.99938965	-0.10553645	-0.02980460	0.96253234	-0.10045549	-0.25187325	5021.00000000	0.00000000	476.00192261	2400.00000000	2493.36279297	0.00000000	0.00000000
0.06956803	-0.08038702	2399.91748047	0.08445275	0.05980710	0.98672038	-0.07063620	0.14626491	4813.00000000	0.00000000	497.02761841	2400.00000000	2432.32836914	0.00000000	0.00000000
