# y_exit	z_exit	x_start	y_start	z_start	px_start	py_start	pz_start	reflCoCl	reflClCl	wl	gpsPosX	length_core	length_clad	rayleighScatterings
0.04841001	0.07934465	800.00891113	0.00755717	-0.08188855	-0.99877948	-0.03927714	0.02994764	154.00000000	3281.00000000	449.09741211	800.00000000	1860.90356445	248.41789246	1.00000000
0.09103190	0.04172450	799.99008179	-0.09600390	0.03702501	0.94648415	0.11290275	-0.30235863	1736.00000000	0.00000000	443.16333008	800.00000000	845.23071289	0.00000000	0.00000000
-0.02313129	0.10161939	800.01467896	-0.04506306	0.08013612	0.97763145	-0.21031763	-0.00179851	1149.00000000	0.00000000	517.24224854	800.00000000	818.31042480	0.00000000	0.00000000
-0.32629594	0.08351350	799.95806885	-0.20977981	0.05814501	0.89211422	-0.03298565	0.45060420	2371.00000000	0.00000000	471.64376831	800.00000000	896.68792725	0.00000000	0.00000000
-0.07413480	-0.05572500	800.00033569	0.08703414	-0.02257832	0.92821813	-0.15870231	0.33648884	1873.00000000	0.00000000	444.42333984	800.00000000	861.84667969	0.00000000	0.00000000
0.00534072	0.03556742	800.00814819	-0.09533930	0.01115275	0.88936663	0.44116035	0.12001896	0.00000000	1750.00000000	524.45709229	800.00000000	793.29687500	99.24653625	0.00000000
0.07958563	-0.06428274	800.00155640	-0.07602132	0.05330150	0.87677127	-0.46485215	-0.12322581	0.00000000	1806.00000000	490.39773560	800.00000000	638.43957520	255.51217651	0.00000000
-0.05930691	-0.04952549	800.00460815	0.06816849	0.00682520	0.92274427	0.38443333	-0.02745950	0.00000000	1280.00000000	468.08401489	800.00000000	705.55590820	150.33496094	0.00000000
0.02778798	-0.07986277	799.99478149	-0.02992842	-0.01675929	0.96531439	0.24300042	-0.09549296	1013.00000000	0.00000000	440.49942017	800.00000000	828.75140381	0.00000000	0.00000000
-0.08551160	-0.00249297	800.00192261	-0.09005866	0.03027055	0.90413839	-0.08826699	0.41802239	2573.00000000	0.00000000	434.05838013	800.00000000	884.80523682	0.00000000	0.00000000
0.02228288	0.09817215	799.99774170	-0.03522827	0.08496308	0.88779229	-0.31019023	-0.34001017	2886.00000000	0.00000000	488.89224243	800.00000000	901.12292480	0.00000000	0.00000000
-0.09478632	0.06034711	799.96160889	0.02183491	-0.08573638	0.83931887	-0.52002758	0.15847754	0.00000000	2498.00000000	484.65881348	800.00000000	747.37084961	191.80821228	0.00000000
0.02944121	0.06799813	799.99978638	-0.04213005	-0.01270492	0.93753844	-0.05135722	0.34406984	1469.00000000	0.00000000	509.21057129	800.00000000	853.30645752	0.00000000	0.00000000
0.06033178	-0.00623914	800.01928711	0.03258098	-0.04789140	0.93852514	-0.32922757	-0.10382557	1549.00000000	0.00000000	494.13281250	800.00000000	852.40808105	0.00000000	0.00000000
0.04255213	-0.01997247	800.00854492	-0.01461517	0.02739074	0.94712800	-0.02659114	0.31975222	1240.00000000	0.00000000	452.46646118	800.00000000	844.67877197	0.00000000	0.00000000
-0.02134646	-0.04583677	799.97045898	-0.05541008	-0.03663722	0.91572326	0.38750857	-0.10624528	0.00000000	1331.00000000	590.13360596	800.00000000	640.03204346	218.76164246	0.00000000
-0.06902976	-0.02637547	799.99209595	-0.07801529	-0.05362440	0.93654001	0.05410150	0.34636080	1744.00000000	0.00000000	520.46112061	800.00000000	854.19110107	0.00000000	0.00000000
0.11442248	-0.16340199	799.99307251	0.08225641	-0.20284069	0.95805734	0.17639016	0.22585988	1204.00000000	0.00000000	479.69168091	800.00000000	835.02569580	0.00000000	0.00000000
-0.35368088	-0.07698672	800.00442505	-0.21563132	0.01744460	0.85789639	-0.30115581	0.41631591	0.00000000	2220.00000000	478.01651001	800.00000000	799.59466553	123.87709808	0.00000000
-0.11436918	-0.01620761	800.04174805	-0.05290817	0.04341547	0.85841298	-0.02399392	-0.51239777	0.00000000	2195.00000000	517.51202393	800.00000000	810.94232178	113.07791138	0.00000000
-0.09222637	0.05297510	799.99487305	-0.02969411	0.04133714	0.96190798	-0.07247457	-0.26359141	1108.00000000	0.00000000	510.42321777	800.00000000	831.68292236	0.00000000	0.00000000
0.18935759	0.05275268	800.01217651	0.22220609	0.09470229	0.84766465	-0.19689427	-0.49264312	3535.00000000	0.00000000	453.85839844	800.00000000	943.76708984	0.00000000	0.00000000
0.00930306	0.03979179	799.95852661	0.08415623	0.04474974	0.95919120	0.18981080	0.20958090	1122.00000000	0.00000000	513.36846924	800.00000000	833.98852539	0.00000000	0.00000000
-0.10123143	-0.05654963	799.99182129	-0.06015356	0.02524268	0.88101590	-0.07672055	-0.46682429	0.00000000	1917.00000000	482.61050415	800.00000000	717.05059814	178.03875732	0.00000000
-0.06338683	0.08120698	799.98226929	0.02759978	-0.10484811	0.89943814	0.40138191	-0.17292643	2802.00000000	0.00000000	468.30230713	800.00000000	889.44512939	0.00000000	0.00000000
0.10804048	-0.04311747	1066.45074463	0.04828009	-0.05280211	0.87877458	-0.13169152	0.45870745	0.00000000	2464.00000000	510.58227539	800.00000000	1084.11523438	120.88389587	0.00000000
0.00530033	-0.06827192	799.99581909	-0.07103193	0.01900015	0.94500124	0.19703849	0.26105261	1603.00000000	0.00000000	478.98471069	800.00000000	846.54162598	0.00000000	0.00000000
-0.35791165	-0.06443352	799.99133301	-0.27190998	0.06232449	0.94624066	0.27671587	-0.16750205	1434.00000000	0.00000000	452.86392212	800.00000000	845.43676758	0.00000000	0.00000000
-0.05048241	0.06067197	799.88647461	-0.06605444	0.08735754	0.94655430	0.03571775	-0.32056069	1439.00000000	0.00000000	473.67636108	800.00000000	845.04162598	0.00000000	0.00000000
0.21447518	-0.08828890	800.00024414	0.16581438	-0.01196907	0.84959489	0.24241851	0.46842480	4064.00000000	0.00000000	459.64965820	800.00000000	941.60003662	0.00000000	0.00000000
0.02042026	-0.07515137	799.99374390	-0.06158752	-0.01531287	0.96329945	0.20689055	-0.17102778	1144.00000000	0.00000000	428.51516724	800.00000000	830.47906494	0.00000000	0.00000000
-0.08611564	0.27561420	799.99639893	-0.07877105	0.14920758	0.97307867	0.11705434	0.19853508	1270.00000000	0.00000000	454.64480591	800.00000000	822.13891602	0.00000000	0.00000000
-0.00434531	0.01026660	799.96896362	0.01055209	0.06466217	0.92463237	0.12404671	0.36009359	0.00000000	1222.00000000	478.44848633	800.00000000	698.09118652	155.69921875	0.00000000
0.34671777	-0.07215030	800.04318237	0.19437011	-0.04370417	0.89399165	-0.32908142	0.30411243	2969.00000000	0.00000000	442.42218018	800.00000000	894.87976074	0.00000000	0.00000000
0.11319242	-0.02342373	799.97625732	-0.01386748	-0.10648235	0.85628074	-0.31498510	0.40935028	0.00000000	2307.00000000	503.25262451	800.00000000	674.92822266	241.99317932	0.00000000
0.09562448	-0.05060063	800.09082031	0.04890069	-0.06485520	0.86615211	-0.36997515	-0.33600426	3096.00000000	0.00000000	446.03735352	800.00000000	923.74896240	0.00000000	0.00000000
0.05291108	0.06428529	800.00256348	-0.01743340	-0.05429185	0.86277246	0.36973605	-0.34484625	0.00000000	2112.00000000	530.97741699	800.00000000	812.48168945	107.24086761	0.00000000
0.16311829	0.17530340	799.99285889	0.12262436	0.13873407	0.94703579	-0.12747657	0.29474223	1331.00000000	0.00000000	443.78860474	800.00000000	844.72583008	0.00000000	0.00000000
0.01889228	-0.05177804	799.95248413	0.03263609	-0.05083779	0.94292229	-0.18198995	-0.27888560	1484.00000000	0.00000000	474.51437378	800.00000000	848.36120605	0.00000000	0.00000000
