#lambda/nm	C1
208.295	464.6
208.67	436
209.045	399.8
209.419	401.8
209.794	542.2
210.169	516.4
210.544	626.2
210.919	532.6
211.295	519
211.67	535.6
212.045	522.8
212.421	525
212.796	559.8
213.172	530.2
213.547	536.6
213.923	529.8
214.299	526.6
214.675	535.8
215.051	534.8
215.427	543.4
215.803	548.2
216.179	543.4
216.555	529.8
216.932	547.4
217.308	537.6
217.684	536.6
218.061	540
218.438	543.8
218.814	531.2
219.191	546.2
219.568	531.8
219.945	530.4
220.322	541.2
220.699	529.4
221.076	545.2
221.453	537.8
221.83	528.6
222.208	525.6
222.585	528.6
222.962	534.4
223.34	538
223.717	537.4
224.095	535
224.473	533.8
224.851	534.6
225.229	531.6
225.607	538.4
225.985	523.8
226.363	536.4
226.741	529.2
227.119	529.4
227.497	540
227.876	517.6
228.254	529.2
228.633	529.4
229.011	535.8
229.39	534
229.769	530
230.148	529.4
230.527	549.6
230.905	532.2
231.284	535
231.664	529.4
232.043	539
232.422	533.2
232.801	528.4
233.181	528.6
233.56	530.4
233.94	530.4
234.319	519.8
234.699	535
235.079	571.4
235.458	556.2
235.838	549
236.218	526
236.598	526.6
236.978	530.2
237.358	530
237.738	527
238.119	546.2
238.499	529.8
238.88	532.4
239.26	549.6
239.641	524.2
240.021	530
240.402	528.4
240.783	529.2
241.163	529.8
241.544	543
241.925	533.2
242.306	546.6
242.687	525.6
243.069	531.6
243.45	534.2
243.831	523.6
244.212	531.4
244.594	559.2
244.975	539.8
245.357	532
245.739	529.8
246.12	536.2
246.502	546.6
246.884	530.8
247.266	523.6
247.648	529.2
248.03	549.8
248.412	542
248.794	536.2
249.176	522
249.559	540
249.941	523.6
250.323	528.2
250.706	530.8
251.089	532.4
251.471	534.6
251.854	533.4
252.237	537
252.62	533.2
253.002	533
253.385	530.8
253.769	542.2
254.152	541.6
254.535	537.2
254.918	530.6
255.301	526
255.685	525.8
256.068	530
256.452	552
256.835	540
257.219	533.2
257.603	540.4
257.986	532.8
258.37	536
258.754	526.8
259.138	536
259.522	541
259.906	529.8
260.29	535
260.675	533.6
261.059	539.8
261.443	531
261.828	540.4
262.212	535.6
262.597	531
262.981	532.6
263.366	539.2
263.751	529.4
264.136	529.8
264.521	533.6
264.906	530.8
265.291	537.6
265.676	537
266.061	536
266.446	548.2
266.831	534.4
267.217	544.8
267.602	550
267.987	541
268.373	526.8
268.759	543.2
269.144	538.8
269.53	532.6
269.916	529.8
270.302	530.6
270.688	547
271.074	540.4
271.46	534
271.846	553
272.232	532
272.618	530.6
273.004	533.8
273.391	538.6
273.777	537.2
274.164	539.4
274.55	549
274.937	540
275.324	534.8
275.71	541.4
276.097	539.4
276.484	528.4
276.871	537
277.258	535.4
277.645	523
278.032	534.6
278.419	536
278.807	545.8
279.194	525.2
279.581	529.4
279.969	535.8
280.356	526.6
280.744	533.2
281.131	550.4
281.519	538.6
281.907	528.6
282.295	531.6
282.682	542.4
283.07	541.2
283.458	542.4
283.846	535.8
284.235	545.2
284.623	540.2
285.011	521
285.399	543
285.788	541.2
286.176	531.4
286.565	538
286.953	525
287.342	528.6
287.731	521.8
288.119	524.2
288.508	522.4
288.897	535.4
289.286	524
289.675	530.4
290.064	538.8
290.453	526.6
290.821	535
291.21	549.8
291.599	529.2
291.989	526.4
292.378	543
292.768	546.6
293.157	534
293.547	541.8
293.936	529.2
294.326	528.8
294.716	535.6
295.106	530.8
295.496	537.6
295.886	544.8
296.276	535.4
296.666	529.6
297.056	534
297.446	528.6
297.836	543.6
298.227	525.8
298.617	537.8
299.008	552.2
299.398	536
299.789	533
300.179	538.6
300.57	544
300.961	527.4
301.352	524.2
301.742	543.6
302.133	532
302.524	528
302.915	538
303.307	530.6
303.698	543.6
304.089	542.2
304.48	524.8
304.872	541.2
305.263	533
305.655	528.2
306.046	529.4
306.438	538
306.829	532.8
307.221	540.4
307.613	541
308.005	538.2
308.397	548.8
308.789	554.6
309.181	555
309.573	547.6
309.965	548
310.357	530.6
310.749	548.6
311.142	527.6
311.534	535.4
311.926	540
312.319	532
312.711	528
313.104	558.8
313.497	530
313.889	564.8
314.282	550
314.675	552.8
315.068	536.8
315.461	541.6
315.854	554
316.247	539.2
316.64	524.4
317.033	530.8
317.405	544.2
317.798	534.6
318.192	539
318.585	536.6
318.979	545.4
319.372	530.6
319.766	536.8
320.16	541.2
320.553	551.8
320.947	547.6
321.341	535.2
321.735	537.2
322.129	523.2
322.523	556.2
322.917	530
323.311	540
323.705	532.6
324.099	537.2
324.494	541
324.888	540.2
325.282	528.8
325.677	541.6
326.071	537
326.466	531.2
326.861	523.2
327.255	534.2
327.65	544.2
328.045	547.2
328.44	534.2
328.835	533.8
329.23	532.6
329.625	547
330.02	532.8
330.415	546.2
330.81	540.8
331.206	537.6
331.601	531.8
331.996	539.4
332.37	553.8
332.766	528.2
333.161	562.2
333.557	528.6
333.953	533.2
334.348	880.2
334.744	531.6
335.14	532.8
335.536	531.4
335.932	541.4
336.328	537.6
336.724	545.4
337.12	532.6
337.516	535.8
337.913	538.2
338.309	545.4
338.705	532.6
339.102	545.8
339.498	529.6
339.895	540
340.291	531.6
340.688	546.4
341.085	527.4
341.481	528
341.878	531.6
342.275	540.6
