#lambda/nm	C1
208.295	471.4
208.67	433.8
209.045	398.2
209.419	404.8
209.794	542.6
210.169	519.2
210.544	622.8
210.919	534.4
211.295	536.2
211.67	545
212.045	539.2
212.421	527
212.796	568.4
213.172	530.6
213.547	528.8
213.923	530.6
214.299	530.8
214.675	543.4
215.051	540.8
215.427	545
215.803	551
216.179	540
216.555	528.4
216.932	545
217.308	532.2
217.684	535
218.061	542.6
218.438	535.2
218.814	531.2
219.191	548.4
219.568	530.8
219.945	541.6
220.322	545.2
220.699	539
221.076	536.6
221.453	534
221.83	520.8
222.208	529
222.585	528.6
222.962	529.2
223.34	531.8
223.717	532.4
224.095	531.8
224.473	530.2
224.851	524.2
225.229	525.8
225.607	546.4
225.985	525.8
226.363	535.8
226.741	537.2
227.119	532.6
227.497	545.8
227.876	527.2
228.254	544
228.633	543.6
229.011	543.6
229.39	541.8
229.769	531.8
230.148	541.4
230.527	548.8
230.905	535.2
231.284	538.2
231.664	532
232.043	547.6
232.422	541.4
232.801	525.4
233.181	541
233.56	532
233.94	534.2
234.319	522.4
234.699	525.8
235.079	569.8
235.458	565.2
235.838	548.8
236.218	527
236.598	519.6
236.978	525.6
237.358	521.8
237.738	532
238.119	539.2
238.499	521.2
238.88	537.2
239.26	548.2
239.641	525
240.021	527.8
240.402	535.8
240.783	526.8
241.163	528
241.544	535.6
241.925	534.2
242.306	550
242.687	530.8
243.069	534.6
243.45	540.2
243.831	528.6
244.212	541.4
244.594	565
244.975	540.6
245.357	538.6
245.739	532.8
246.12	545.4
246.502	541.2
246.884	536.6
247.266	525.2
247.648	537.8
248.03	558.8
248.412	543.2
248.794	531.8
249.176	529.6
249.559	540.6
249.941	532.8
250.323	531.8
250.706	531.2
251.089	533.4
251.471	534
251.854	537.6
252.237	535
252.62	547.6
253.002	535.6
253.385	537.8
253.769	550.6
254.152	533
254.535	533.8
254.918	528
255.301	536
255.685	530.8
256.068	521.6
256.452	552.4
256.835	534.2
257.219	539.4
257.603	547.4
257.986	530.4
258.37	534.2
258.754	525.6
259.138	538.4
259.522	543
259.906	531.4
260.29	539.2
260.675	531.6
261.059	535
261.443	531.6
261.828	539
262.212	542
262.597	524.8
262.981	534.4
263.366	533.2
263.751	532
264.136	530.4
264.521	529.8
264.906	522.4
265.291	540.8
265.676	527.8
266.061	541.6
266.446	547.8
266.831	531.4
267.217	547.2
267.602	533.8
267.987	536.4
268.373	530.2
268.759	540.6
269.144	543.8
269.53	534.4
269.916	535.8
270.302	533.6
270.688	530.6
271.074	541.6
271.46	547.2
271.846	554.2
272.232	537.4
272.618	530.8
273.004	536.2
273.391	545.4
273.777	544
274.164	540
274.55	551.6
274.937	542.2
275.324	534.2
275.71	543.2
276.097	533.4
276.484	531.6
276.871	536.2
