#1D 255 -512.000000 260608.000000	[nbin xmin xmax]
#"X"	"Function_0"
0.000000	1.525545
1024.000000	3.883906
2048.000000	7.917187
3072.000000	11.072734
4096.000000	14.251953
5120.000000	18.062344
6144.000000	21.558984
7168.000000	25.575312
8192.000000	28.772031
9216.000000	31.900078
10240.000000	35.461328
11264.000000	38.750391
12288.000000	42.298047
13312.000000	45.561250
14336.000000	49.075313
15360.000000	52.170469
16384.000000	55.546094
17408.000000	58.838828
18432.000000	62.062500
19456.000000	65.302656
20480.000000	68.273828
21504.000000	72.214688
22528.000000	75.298906
23552.000000	78.286094
24576.000000	81.386094
25600.000000	84.653203
26624.000000	87.574531
27648.000000	90.370781
28672.000000	94.238047
29696.000000	96.774531
30720.000000	99.601484
31744.000000	102.407891
32768.000000	105.950703
33792.000000	108.869844
34816.000000	111.793984
35840.000000	113.924531
36864.000000	117.194063
37888.000000	119.726328
38912.000000	122.580234
39936.000000	125.543828
40960.000000	128.369766
41984.000000	130.495938
43008.000000	133.166250
44032.000000	136.001641
45056.000000	138.388281
46080.000000	140.931641
47104.000000	143.483047
48128.000000	145.971250
49152.000000	148.505391
50176.000000	150.892969
51200.000000	153.222031
52224.000000	155.467891
53248.000000	157.765156
54272.000000	160.147969
55296.000000	162.451406
56320.000000	164.575625
57344.000000	166.645547
58368.000000	168.783672
59392.000000	171.001250
60416.000000	173.227344
61440.000000	175.015391
62464.000000	176.932578
63488.000000	179.451172
64512.000000	181.323438
65536.000000	183.715859
66560.000000	185.367422
67584.000000	187.314141
68608.000000	188.909219
69632.000000	190.913125
70656.000000	192.602734
71680.000000	194.461797
72704.000000	196.284844
73728.000000	197.696094
74752.000000	199.222969
75776.000000	200.961172
76800.000000	202.800547
77824.000000	204.269375
78848.000000	205.567344
79872.000000	207.203203
80896.000000	208.799453
81920.000000	210.066328
82944.000000	211.646797
83968.000000	212.963125
84992.000000	214.468125
86016.000000	215.767734
87040.000000	217.321563
88064.000000	218.460312
89088.000000	219.911641
90112.000000	221.008203
91136.000000	222.390156
92160.000000	223.529297
93184.000000	224.591250
94208.000000	225.742188
95232.000000	226.902578
96256.000000	227.999297
97280.000000	228.943438
98304.000000	230.054609
99328.000000	231.229453
100352.000000	232.240469
101376.000000	233.144531
102400.000000	234.136328
103424.000000	234.973828
104448.000000	235.942344
105472.000000	236.598594
106496.000000	237.547344
107520.000000	238.388984
108544.000000	239.310234
109568.000000	240.250859
110592.000000	241.058125
111616.000000	242.074141
112640.000000	242.730000
113664.000000	243.434375
114688.000000	244.207266
115712.000000	244.928047
116736.000000	245.473359
117760.000000	246.144766
118784.000000	246.930234
119808.000000	247.463125
120832.000000	248.163984
121856.000000	248.739766
122880.000000	249.198281
123904.000000	249.710938
124928.000000	250.349766
125952.000000	250.815703
126976.000000	251.530313
128000.000000	252.081406
129024.000000	252.468906
130048.000000	252.928125
131072.000000	253.367422
132096.000000	253.675703
133120.000000	254.177031
134144.000000	254.615547
135168.000000	255.039141
136192.000000	255.485703
137216.000000	255.850156
138240.000000	256.301250
139264.000000	256.729375
140288.000000	256.919297
141312.000000	257.387578
142336.000000	257.646953
143360.000000	258.086094
144384.000000	258.518438
145408.000000	258.743281
146432.000000	259.147891
147456.000000	259.462813
148480.000000	259.790078
149504.000000	260.072891
150528.000000	260.290156
151552.000000	260.557734
152576.000000	260.845234
153600.000000	261.042969
154624.000000	261.301250
155648.000000	261.660469
156672.000000	261.879297
157696.000000	262.088828
158720.000000	262.329062
159744.000000	262.461406
160768.000000	262.722891
161792.000000	262.931250
162816.000000	263.214219
163840.000000	263.284063
164864.000000	263.562812
165888.000000	263.679297
166912.000000	264.021875
167936.000000	264.095625
168960.000000	264.248828
169984.000000	264.351172
171008.000000	264.508984
172032.000000	264.719609
173056.000000	264.752344
174080.000000	265.038047
175104.000000	265.122422
176128.000000	265.153828
177152.000000	265.317969
178176.000000	265.370703
179200.000000	265.544687
180224.000000	265.683047
181248.000000	265.868125
182272.000000	265.940000
183296.000000	266.004844
184320.000000	266.184531
185344.000000	266.330156
186368.000000	266.263047
187392.000000	266.421875
188416.000000	266.690859
189440.000000	266.650469
190464.000000	266.872734
191488.000000	266.978438
192512.000000	267.070313
193536.000000	267.033516
194560.000000	267.290234
195584.000000	267.286641
196608.000000	267.320547
197632.000000	267.580391
198656.000000	267.553906
199680.000000	267.587813
200704.000000	267.737188
201728.000000	267.668359
202752.000000	267.746328
203776.000000	267.827734
204800.000000	267.963047
205824.000000	267.979531
206848.000000	267.960312
207872.000000	267.992031
208896.000000	268.081328
209920.000000	268.141875
210944.000000	268.175469
211968.000000	268.206797
212992.000000	268.232578
214016.000000	268.251328
215040.000000	268.313594
216064.000000	268.258984
217088.000000	268.456797
218112.000000	268.354766
219136.000000	268.634531
220160.000000	268.469141
221184.000000	268.610703
222208.000000	268.619922
223232.000000	268.671563
224256.000000	268.626406
225280.000000	268.701797
226304.000000	268.802031
227328.000000	268.680859
228352.000000	268.750781
229376.000000	268.847266
230400.000000	268.794219
231424.000000	268.915000
232448.000000	268.822031
233472.000000	268.891328
234496.000000	268.965781
235520.000000	268.955391
236544.000000	268.887109
237568.000000	268.871953
238592.000000	268.997344
239616.000000	269.006484
240640.000000	269.094609
241664.000000	268.996172
242688.000000	269.030859
243712.000000	269.076406
244736.000000	269.032578
245760.000000	269.121172
246784.000000	269.041875
247808.000000	269.155859
248832.000000	269.078203
249856.000000	269.181406
250880.000000	269.201406
251904.000000	269.198438
252928.000000	269.137344
253952.000000	269.206328
254976.000000	269.250859
256000.000000	269.315000
257024.000000	269.281641
258048.000000	269.331484
259072.000000	269.275547
260096.000000	269.351875
