#1D 255 -512.000000 260608.000000	[nbin xmin xmax]
#"X"	"Function_0"
0.000000	2.277070
1024.000000	3.658907
2048.000000	7.028828
3072.000000	10.529062
4096.000000	14.254766
5120.000000	17.365078
6144.000000	20.923594
7168.000000	24.073281
8192.000000	28.123203
9216.000000	31.040312
10240.000000	34.845156
11264.000000	37.771953
12288.000000	41.515937
13312.000000	44.684844
14336.000000	48.530156
15360.000000	51.289844
16384.000000	54.606875
17408.000000	57.916406
18432.000000	61.371641
19456.000000	64.309141
20480.000000	67.656953
21504.000000	70.891797
22528.000000	74.391719
23552.000000	77.153359
24576.000000	80.414609
25600.000000	83.428437
26624.000000	86.346016
27648.000000	89.451172
28672.000000	92.730625
29696.000000	95.356250
30720.000000	98.419531
31744.000000	101.338125
32768.000000	104.587812
33792.000000	107.287656
34816.000000	110.323047
35840.000000	112.935781
36864.000000	115.930391
37888.000000	118.949297
38912.000000	121.485938
39936.000000	124.412891
40960.000000	126.937500
41984.000000	129.347109
43008.000000	132.034766
44032.000000	134.740703
45056.000000	136.935938
46080.000000	139.454766
47104.000000	142.481875
48128.000000	144.628594
49152.000000	146.728125
50176.000000	149.228203
51200.000000	151.593984
52224.000000	153.990312
53248.000000	156.589844
54272.000000	158.677188
55296.000000	161.056016
56320.000000	163.114219
57344.000000	165.325937
58368.000000	167.321641
59392.000000	169.547578
60416.000000	171.188672
61440.000000	173.772813
62464.000000	175.627500
63488.000000	177.750078
64512.000000	179.485938
65536.000000	181.923359
66560.000000	183.573125
67584.000000	185.702422
68608.000000	187.553281
69632.000000	189.122813
70656.000000	190.908984
71680.000000	192.893437
72704.000000	194.384219
73728.000000	196.098437
74752.000000	197.641250
75776.000000	199.454297
76800.000000	200.976562
77824.000000	202.475313
78848.000000	203.983359
79872.000000	205.441719
80896.000000	206.822734
81920.000000	208.519766
82944.000000	209.866797
83968.000000	211.172344
84992.000000	212.609531
86016.000000	214.117344
87040.000000	215.458516
88064.000000	216.703203
89088.000000	217.956250
90112.000000	219.263359
91136.000000	220.134844
92160.000000	221.521875
93184.000000	222.785937
94208.000000	223.770781
95232.000000	224.894375
96256.000000	225.980781
97280.000000	227.072109
98304.000000	228.075234
99328.000000	229.065313
100352.000000	230.089844
101376.000000	231.150625
102400.000000	232.084531
103424.000000	233.009766
104448.000000	233.922734
105472.000000	234.830234
106496.000000	235.622656
107520.000000	236.499687
108544.000000	237.426875
109568.000000	238.143984
110592.000000	238.996016
111616.000000	239.684063
112640.000000	240.634531
113664.000000	241.230781
114688.000000	241.925234
