#lambda/nm	C1
208.295	467
208.67	433.6
209.045	398.2
209.419	398
209.794	534
210.169	509.6
210.544	615.6
210.919	526.8
211.295	519.6
211.67	530.4
212.045	524.2
212.421	527
212.796	559.6
213.172	528
213.547	523.4
213.923	523
214.299	524.4
214.675	535.4
215.051	530.4
215.427	531.8
215.803	543.6
216.179	532
216.555	520.8
216.932	530.8
217.308	530.8
217.684	524.8
218.061	536.2
218.438	532
218.814	530.6
219.191	538.6
219.568	520.4
219.945	528.6
220.322	523
220.699	531
221.076	535
221.453	533.6
221.83	517.8
222.208	530
222.585	521
222.962	527.2
223.34	534.8
223.717	530.4
224.095	532.4
224.473	539.2
224.851	514.2
225.229	515
225.607	537
225.985	521.8
226.363	531.2
226.741	537.4
227.119	521
227.497	538.6
227.876	520.6
228.254	538.4
228.633	534.6
229.011	532
229.39	534.2
229.769	527.8
230.148	535.6
230.527	542
230.905	529.6
231.284	527.8
231.664	522.4
232.043	537.4
232.422	538.2
232.801	530
233.181	525.4
233.56	525.6
233.94	525.8
234.319	518.6
234.699	527.8
235.079	567.8
235.458	561
235.838	532.4
236.218	523.6
236.598	518.8
236.978	529.4
237.358	518.6
237.738	524.4
238.119	535.2
238.499	520
238.88	534
239.26	544.6
239.641	510.8
240.021	523.4
240.402	530.8
240.783	525.8
241.163	532.8
241.544	533.2
241.925	528.2
242.306	541.2
242.687	525.8
243.069	534.2
243.45	537.6
243.831	527.8
244.212	527.6
244.594	553.4
244.975	533.2
245.357	532.4
245.739	523.8
246.12	526
246.502	545.6
246.884	534.4
247.266	524.4
247.648	535.2
248.03	546.2
248.412	529.2
248.794	536.8
249.176	517
249.559	536.4
249.941	523.8
250.323	515
250.706	527
251.089	533
251.471	527.2
251.854	530.6
252.237	527.8
252.62	532.6
253.002	526.6
253.385	530.8
253.769	541.4
254.152	532.8
254.535	536.4
254.918	522.6
255.301	528.2
255.685	525.6
256.068	518.6
256.452	544.6
256.835	538.8
257.219	539.4
257.603	538.2
257.986	524
258.37	534.2
258.754	515.8
259.138	534
259.522	536.2
259.906	529.4
260.29	526.6
260.675	524
261.059	529
261.443	527.4
261.828	533.8
262.212	529
262.597	516.6
262.981	523
263.366	531.6
263.751	530.2
264.136	522.8
264.521	525
264.906	521.4
265.291	538.8
265.676	523.6
266.061	529.8
266.446	547.4
266.831	532
267.217	544
267.602	534
267.987	531.6
268.373	525.4
268.759	534.6
269.144	536.8
