#lambda/nm	C1
208.295	466.4
208.67	434.6
209.045	392
209.419	401.8
209.794	537.4
210.169	516.6
210.544	625.2
210.919	537.6
211.295	522.2
211.67	533.2
212.045	530.4
212.421	529.4
212.796	542
213.172	526.8
213.547	528.4
213.923	527
214.299	525.4
214.675	533.2
215.051	533.6
215.427	536.6
215.803	548.4
216.179	527.8
216.555	526
216.932	531.6
217.308	530.6
217.684	532.6
218.061	538.2
218.438	530
218.814	528.6
219.191	538.8
219.568	521.6
219.945	524.8
220.322	531.8
220.699	527
221.076	545
221.453	539.2
221.83	523.8
222.208	535
222.585	526.8
222.962	538.6
223.34	538
223.717	531.6
224.095	530.6
224.473	530.6
224.851	534
225.229	527.8
225.607	546.4
225.985	528.4
226.363	534.4
226.741	532.8
227.119	529.4
227.497	541
227.876	522.4
228.254	536.8
228.633	543.8
229.011	536.4
229.39	541
229.769	530.8
230.148	538.6
230.527	546.4
230.905	529.6
231.284	537.4
231.664	520.6
232.043	542.4
232.422	536
232.801	527.2
233.181	530.8
233.56	530.4
233.94	530.6
234.319	525
234.699	520.4
235.079	562.2
235.458	559.4
235.838	539
236.218	520.8
236.598	515.4
236.978	520.4
237.358	527.4
237.738	534.2
238.119	529.4
238.499	524.2
238.88	526.6
239.26	546.4
239.641	535.6
240.021	524
240.402	533.4
240.783	529.2
241.163	538.8
241.544	536
241.925	535.4
242.306	541.8
242.687	527
243.069	530.8
243.45	529.8
243.831	523.6
244.212	527
244.594	559
244.975	532.8
245.357	532.8
245.739	531
246.12	531.4
246.502	546.6
246.884	522.2
247.266	530.4
247.648	529.4
248.03	548.2
248.412	533.6
248.794	527.2
249.176	526.4
249.559	538.2
249.941	526.8
250.323	526.6
250.706	529.6
251.089	532.4
251.471	535
251.854	527
252.237	528
252.62	535.4
253.002	538.6
253.385	532
253.769	548
254.152	530
254.535	542.8
254.918	520.8
255.301	527.4
255.685	531.2
256.068	533.8
256.452	555.6
256.835	543.8
257.219	534.6
257.603	542
257.986	528.8
258.37	538
258.754	525.4
259.138	535.6
259.522	540.6
259.906	524
260.29	528.4
260.675	531.6
261.059	534.4
261.443	525.8
261.828	541
262.212	533.4
262.597	523.8
262.981	527
263.366	539
263.751	531
264.136	529
264.521	524.6
264.906	524.8
265.291	542.2
265.676	527.8
266.061	538.4
266.446	545.4
266.831	537.4
267.217	549.6
267.602	537.8
267.987	537.2
268.373	528
268.759	543
269.144	536.4
269.53	535
269.916	528.6
270.302	529.8
270.688	530.4
271.074	531.8
271.46	537
271.846	555.6
272.232	537
272.618	531.6
273.004	531.6
273.391	548.8
273.777	538.2
274.164	532.6
274.55	535.2
274.937	529.8
275.324	521.6
275.71	540.2
276.097	538
276.484	523.2
276.871	526.4
277.258	533.8
277.645	523.4
278.032	528.8
278.419	523.4
278.807	529.2
279.194	525
279.581	522.2
279.969	529.6
280.356	530.4
280.744	525.2
281.131	546.6
281.519	539.2
281.907	524.8
282.295	528.2
282.682	542.6
283.07	530.4
283.458	539.2
283.846	535
284.235	543
284.623	536.2
285.011	523.6
285.399	534
285.788	535
286.176	523.4
286.565	535.8
286.953	531.6
287.342	531.8
287.731	530
288.119	529
288.508	528
288.897	533.4
289.286	514.4
289.675	530.8
290.064	533.2
290.453	524.6
290.821	535.4
291.21	544.2
291.599	530.6
291.989	533
292.378	539.8
292.768	546.2
293.157	541.4
293.547	530.8
293.936	525.6
294.326	524
294.716	532.6
