#lambda/nm	C1
208.295	467
208.67	434.6
209.045	400
209.419	402.6
209.794	538
210.169	525
210.544	629.8
210.919	536.2
211.295	537
211.67	530.8
212.045	531.6
212.421	535
212.796	561.2
213.172	535.6
213.547	539.2
213.923	537.4
214.299	530.2
214.675	545.4
215.051	534.8
215.427	547.8
215.803	555.2
216.179	539.8
216.555	528.6
216.932	541
217.308	541.6
217.684	536.6
218.061	539.8
218.438	538.8
218.814	529.4
219.191	535
219.568	522.6
219.945	532.4
220.322	543
220.699	534.2
221.076	546.8
221.453	531.6
221.83	529.2
222.208	529.4
222.585	528.2
222.962	529
223.34	532.2
223.717	540.8
224.095	527.6
224.473	543.6
224.851	532.8
225.229	526
225.607	545.4
225.985	528.2
226.363	533.4
226.741	528
227.119	535.6
227.497	540.6
227.876	527.4
228.254	543.8
228.633	540
229.011	534
229.39	536
229.769	544.4
230.148	540.8
230.527	554.4
230.905	540.8
231.284	532.6
231.664	535.2
232.043	543
232.422	541.4
232.801	531.8
233.181	537.4
233.56	536.4
233.94	540.2
234.319	525.6
234.699	536.6
235.079	565
235.458	568.2
235.838	546.4
236.218	533.6
236.598	525.4
236.978	525
237.358	532
237.738	528.4
238.119	544
238.499	526.8
238.88	532.2
239.26	553.6
239.641	526.6
240.021	526.2
240.402	532
240.783	531.6
241.163	537.6
241.544	536.2
241.925	525.2
242.306	550.6
242.687	533.2
243.069	543
243.45	547.2
243.831	531.6
244.212	529
244.594	553.2
244.975	543
245.357	531.6
245.739	530
246.12	536.8
246.502	548.6
246.884	540.4
247.266	530.8
247.648	541.8
248.03	553
248.412	540
248.794	542
249.176	527.8
249.559	544.2
249.941	529.4
250.323	528.8
250.706	531.4
251.089	533
251.471	541.2
251.854	538.6
252.237	531.4
252.62	543.2
253.002	538.6
253.385	531
253.769	541.4
254.152	533.4
254.535	534.4
254.918	529.4
255.301	532.6
255.685	532.6
256.068	531.8
256.452	550.6
256.835	541.2
257.219	536.2
257.603	547.4
257.986	521.4
258.37	532.6
258.754	527.2
259.138	539.4
259.522	535.2
259.906	533.4
260.29	537.6
260.675	541.4
261.059	525.8
261.443	523.8
261.828	538.4
262.212	536
262.597	525.8
262.981	528.8
263.366	535.4
263.751	532.6
264.136	524.2
264.521	525.4
264.906	533
265.291	538.2
265.676	528.6
266.061	544
266.446	554.8
266.831	537
267.217	557.8
267.602	544
267.987	540
268.373	529.4
268.759	546.2
269.144	537
269.53	541.4
269.916	539.2
270.302	538.4
270.688	539.6
271.074	538.2
271.46	542.2
271.846	560.8
272.232	530.4
272.618	532
273.004	536.2
273.391	549.8
273.777	555.4
274.164	541.6
274.55	546.2
274.937	529.6
275.324	535.2
275.71	540.8
276.097	546.8
276.484	528.2
276.871	543.6
277.258	544.8
277.645	526.8
278.032	525
278.419	530.2
278.807	539.2
279.194	530.6
279.581	529
279.969	537
280.356	537.8
280.744	539.8
281.131	557.6
281.519	550
281.907	526.6
282.295	532.2
282.682	536.8
283.07	536.6
283.458	553.6
283.846	550.2
284.235	533.6
284.623	534.8
285.011	529
285.399	543.4
285.788	531.8
286.176	522.6
286.565	544
286.953	539.6
287.342	537
287.731	530.2
288.119	532.8
288.508	537.2
288.897	535
289.286	528.8
289.675	534.6
290.064	545.2
290.453	532.4
290.821	533.2
291.21	552.8
291.599	537.8
291.989	540.6
292.378	540.2
292.768	554.2
293.157	538.2
293.547	544.8
293.936	530.8
294.326	533.2
294.716	532.4
295.106	533
295.496	541.6
295.886	541.8
296.276	540.8
296.666	539.4
297.056	526.2
297.446	520.6
297.836	544.8
298.227	532.8
298.617	533.8
299.008	539.6
299.398	528
299.789	527.4
300.179	536
300.57	540.2
300.961	532.4
301.352	525
301.742	541.6
302.133	525
302.524	528.6
302.915	529.6
303.307	537.4
303.698	541
304.089	538.6
304.48	534.4
304.872	542
305.263	534
305.655	531.6
306.046	544
306.438	545.4
306.829	537.2
307.221	547.8
307.613	545.2
308.005	537.4
308.397	541
308.789	554.4
309.181	553
309.573	551.4
309.965	547.4
310.357	534.4
310.749	548.8
311.142	538.8
311.534	525.8
311.926	539.2
312.319	540.4
312.711	523.8
313.104	545.6
313.497	528.4
313.889	573.6
314.282	548.6
314.675	558.2
315.068	532.6
315.461	538.8
315.854	565.8
316.247	535.8
316.64	529.6
317.033	540
317.405	540.6
317.798	535.2
318.192	535.6
318.585	525.4
318.979	541.4
319.372	527.8
319.766	534.4
320.16	540.4
320.553	543.8
320.947	546.8
321.341	526.8
321.735	533.8
322.129	530.8
322.523	554.6
322.917	530.2
323.311	539
323.705	536.2
324.099	534.6
324.494	545
324.888	547
325.282	532.8
325.677	550.4
326.071	540.8
326.466	543.2
326.861	535.4
327.255	541
327.65	545
328.045	547.6
328.44	537.8
328.835	540.6
329.23	530.2
329.625	548.6
330.02	530
330.415	553.8
330.81	531
331.206	539.2
331.601	528.2
331.996	546
332.37	546.4
332.766	520
333.161	548.6
333.557	527.8
333.953	535.6
334.348	716.2
334.744	537.6
335.14	531.8
335.536	532.2
335.932	548.6
336.328	530.2
336.724	546.4
337.12	533
337.516	538.2
337.913	540.2
338.309	545.2
338.705	535.8
339.102	536.6
339.498	526
339.895	546.6
340.291	525.6
340.688	541.6
341.085	524
341.481	538.2
341.878	531.2
342.275	551.6
342.672	527.4
343.069	529
343.466	531.2
343.842	541.2
344.239	523.2
344.636	532.2
345.033	526
345.431	529
345.828	535.6
346.225	526.6
346.623	563
