#lambda/nm	C1
208.295	467.2
208.67	436
209.045	395.4
209.419	400.2
209.794	546.6
210.169	517.8
210.544	628
210.919	546.4
211.295	527
211.67	543.8
212.045	534
212.421	536
212.796	561.4
213.172	538.2
213.547	532.6
213.923	534.6
214.299	527.4
214.675	544.4
215.051	540
215.427	537.8
215.803	553
216.179	535.8
216.555	528.6
216.932	535.2
217.308	534.4
217.684	536.6
218.061	546.2
218.438	538
218.814	535
219.191	537.2
219.568	528.8
219.945	536.2
220.322	537
220.699	543.4
221.076	547.4
221.453	538.8
221.83	534.6
222.208	538.4
222.585	534.6
222.962	537.2
223.34	536.2
223.717	534.2
224.095	539
224.473	547
224.851	534.2
225.229	529.6
225.607	553
225.985	531.4
226.363	545.2
226.741	543
227.119	541.6
227.497	548.6
227.876	527
228.254	541.8
228.633	543
229.011	540.2
229.39	541.6
229.769	547.4
230.148	549.6
230.527	555.2
230.905	542.2
231.284	541
231.664	543
232.043	545.4
232.422	548.6
232.801	533.2
233.181	541.6
233.56	534.4
233.94	530.6
234.319	522
234.699	532.8
235.079	565.8
235.458	569.4
235.838	549.6
236.218	535.4
236.598	523.4
236.978	530.4
237.358	527.4
237.738	525.8
238.119	537.4
238.499	527.2
238.88	539.2
239.26	543
239.641	524.8
240.021	525.8
240.402	538.4
240.783	541.4
241.163	530.4
241.544	537.8
241.925	541.8
242.306	546.8
242.687	537.2
243.069	534.4
243.45	541
243.831	536
244.212	530.6
244.594	565
244.975	540.8
245.357	533.2
245.739	529.2
246.12	540.6
246.502	548.8
246.884	537
247.266	536.4
247.648	540
248.03	554.4
248.412	541.4
248.794	541
249.176	532
249.559	540.2
249.941	532
250.323	528.6
250.706	529
251.089	537.2
251.471	541.8
251.854	536.4
252.237	537.6
252.62	544.8
253.002	537.6
253.385	539.4
253.769	548.2
254.152	533.6
254.535	540.2
254.918	531.2
255.301	537.8
255.685	531.2
256.068	530
256.452	559
256.835	550.2
257.219	540
257.603	549.8
257.986	531.6
258.37	539.2
258.754	521
259.138	537
259.522	541.6
259.906	528.4
260.29	534.6
260.675	532.8
261.059	532.4
261.443	526.6
261.828	544.4
262.212	533.8
262.597	527
262.981	534.8
263.366	536.2
263.751	532
264.136	530.6
264.521	526.4
264.906	523.8
265.291	547.2
265.676	545.2
266.061	544.2
266.446	555.4
266.831	540.2
267.217	558.8
267.602	544.6
267.987	545
268.373	537.8
268.759	547
269.144	536.4
269.53	535.8
269.916	535
270.302	541.4
270.688	534.8
271.074	536.8
271.46	550.2
271.846	568.4
272.232	540.6
272.618	536.2
273.004	531.2
273.391	546.8
273.777	545.8
274.164	541.2
274.55	544
274.937	538.4
275.324	537.4
275.71	541.2
276.097	550.6
276.484	532.4
276.871	541.8
277.258	539.8
277.645	532
278.032	540.6
278.419	536.6
278.807	543.4
279.194	527.8
279.581	529.4
279.969	540.4
280.356	549.4
280.744	537.4
281.131	564
281.519	545.4
281.907	531.4
282.295	532.6
282.682	553.8
283.07	541
283.458	540.4
283.846	549
284.235	545.8
284.623	546.6
285.011	534.2
285.399	541.2
285.788	540
286.176	527.2
286.565	545.6
286.953	541.2
287.342	537.8
287.731	528.8
288.119	530.2
288.508	542.8
288.897	538.4
289.286	529.8
289.675	543.4
290.064	547
290.453	533.4
290.821	534.4
291.21	549.4
291.599	526.4
291.989	541
292.378	541.2
292.768	550.2
293.157	541.6
293.547	540
293.936	533.6
294.326	529.6
294.716	541.8
295.106	536.2
295.496	543
295.886	546.4
296.276	535
296.666	528.6
297.056	534.6
297.446	538.4
297.836	557.6
298.227	539.2
298.617	540.4
299.008	553.8
299.398	533.2
299.789	530.6
300.179	545.4
300.57	543.8
300.961	538.4
301.352	534.8
301.742	545.2
302.133	537.6
302.524	538.4
302.915	535
303.307	530.4
303.698	539.4
304.089	538.2
304.48	531
304.872	539.6
305.263	540
305.655	535.4
306.046	543.8
306.438	540.4
306.829	535
307.221	549.8
307.613	542.8
308.005	541.2
308.397	544.4
308.789	556.6
309.181	556.4
309.573	542.8
309.965	546
310.357	532.8
310.749	549
311.142	540.4
311.534	528.8
311.926	535.8
312.319	539.2
312.711	531.6
313.104	554.4
313.497	540.4
313.889	579.2
314.282	551.2
314.675	552
315.068	533.8
315.461	543
315.854	564.2
316.247	537
316.64	539
317.033	531.8
317.405	542.8
317.798	531
318.192	540.4
318.585	530.2
318.979	537.6
319.372	530.8
319.766	532.4
320.16	553.8
320.553	549.6
320.947	551.6
321.341	539
321.735	538.6
322.129	522.8
322.523	563
322.917	526.2
323.311	554.2
323.705	533.4
324.099	535
324.494	551
324.888	545
325.282	531.8
325.677	549.6
326.071	536
326.466	547.4
326.861	540.4
327.255	549.6
327.65	552.2
328.045	545
328.44	548
328.835	535.8
329.23	536.4
329.625	555
330.02	538.6
330.415	548.6
330.81	543.8
331.206	541.6
331.601	528
331.996	538.6
332.37	559.8
332.766	530
333.161	553.8
333.557	533.2
333.953	535.6
334.348	842.4
334.744	537.6
335.14	531.4
335.536	528.2
335.932	543.8
336.328	527.4
336.724	544
337.12	537
337.516	539
337.913	540.6
338.309	539
338.705	535.2
339.102	544.6
339.498	532.4
339.895	547
340.291	533.8
340.688	546.4
341.085	525.8
341.481	536.6
341.878	542.6
342.275	563.6
342.672	528
343.069	526.4
343.466	519.8
343.842	531.4
344.239	522.2
344.636	530.8
345.033	521.8
345.431	522.2
345.828	538
346.225	528.2
346.623	568.8
347.02	535.4
347.418	550.2
347.816	546.4
348.213	528.8
348.611	542.4
349.009	536.2
349.407	546.4
349.805	529
350.203	520.6
350.601	536
350.999	530.2
351.397	570.6
351.795	529.6
352.193	539.6
352.57	536.8
352.969	545.2
353.367	525.6
353.766	531.2
354.164	534.4
354.563	542.2
354.961	541.4
355.36	528.2
355.759	534.2
356.158	524.8
356.557	521.4
356.956	534.2
357.355	522
357.754	531
358.153	537.6
358.552	549.2
358.951	535.2
359.35	542.2
359.75	534.4
360.149	530.2
360.527	520.6
360.926	527.8
361.326	534
361.726	521.6
362.125	527.4
362.525	538.4
362.925	531
363.325	529.2
363.724	529
364.124	525.8
364.524	525.4
364.924	530.2
365.324	538.4
365.725	518.8
366.125	531
366.525	529
366.904	529.2
367.304	519.8
367.705	549.4
368.105	540.6
368.506	525.4
368.906	534
369.307	522.8
369.708	536.8
370.108	515.2
370.509	540
370.91	519
371.311	533
371.712	533.8
372.113	525
372.514	522.8
372.894	523.2
373.295	525.6
373.696	538.6
374.097	538
374.499	556.6
374.9	532.8
375.301	523
375.703	525.6
376.105	528.8
376.506	532.8
376.908	537.8
377.309	532
377.711	530
378.113	524.2
378.493	533.4
378.895	529
379.297	540.8
379.699	519.2
380.102	532.6
380.504	539.6
380.906	526
381.308	547
381.71	530.8
382.113	541
382.515	524
382.918	532.4
383.299	529
383.701	534.8
384.104	531.2
384.507	512.8
384.909	529.2
385.312	521
385.715	520
386.118	525.6
386.521	520.6
386.924	538
387.327	519.2
387.709	518.2
388.112	516.6
388.515	525
388.918	526.2
389.322	532.4
389.725	524.6
390.129	547
390.532	544.6
390.936	527.4
391.339	519.2
391.743	532.4
392.125	527.6
392.529	535.6
392.933	541.6
393.337	524
393.74	530
394.144	536.8
394.548	522.4
394.953	530.8
395.357	529.2
395.761	520.2
396.144	531.2
396.548	528.2
396.952	534.8
397.357	524.6
397.761	526.6
398.166	532.4
398.57	530
398.975	518.6
399.379	531.8
399.763	566.6
400.168	539.6
400.572	522.8
400.977	519
401.382	546.8
401.787	541.2
402.192	549
402.597	535.8
403.002	518
403.386	534.4
403.791	541.6
404.197	513
404.602	532
405.007	523
405.413	528.8
405.818	522.8
406.224	521.6
406.608	518
407.014	520.2
407.42	535
407.825	525.6
408.231	532.2
408.637	533
409.043	549.6
409.449	526
409.834	521.2
410.24	532.6
410.646	533
411.052	533.6
411.458	528.8
411.865	529.8
412.271	536.4
412.677	522
413.062	528.4
413.469	516.2
413.875	553.2
414.282	540.8
414.689	531.8
415.095	529.4
415.502	531.4
415.888	527.2
416.294	514.2
416.701	567.4
417.108	525
417.515	538.2
417.923	528
418.33	540.8
418.715	543.8
419.123	537
419.53	530.2
419.937	525.8
420.345	539
420.752	518
421.16	547.4
421.546	530.6
421.953	545.2
422.361	522.2
422.769	530
423.177	525.4
423.585	548.4
423.992	548
424.379	534.6
424.787	540.6
425.195	548.4
425.603	527
426.011	542.8
426.419	550.4
426.806	536.2
427.214	541.8
427.623	541.6
428.031	561
428.44	548.2
428.848	562
429.235	558
429.644	555.4
430.053	552.8
430.461	573.8
430.87	588.8
431.279	599.2
431.666	594.6
432.075	597.4
432.484	625.2
432.893	624.2
433.302	646
433.711	682.2
434.099	677.8
434.508	688.8
434.918	687.8
435.327	723.6
435.737	742.2
436.125	742
436.534	785.4
436.944	795
437.353	808.8
437.763	838
438.173	829.6
438.561	865.8
438.971	859.2
439.381	882.4
439.791	905
440.201	891.6
440.589	934.2
440.999	948.6
441.409	956
441.819	956.4
442.23	1004
442.619	1002.2
443.029	1013.2
443.439	1011
443.85	1022.4
444.26	1039.6
444.649	1049.6
445.06	1046.6
445.471	1055.6
445.881	1069.8
446.292	1091
446.682	1096.4
447.092	1066.6
447.503	1144.2
447.914	1087.6
448.325	1094.6
448.715	1112
449.126	1104.4
449.537	1119
449.948	1101
450.338	1113.6
450.75	1133
451.161	1124
451.572	1146
451.984	1129.2
452.374	1128.8
452.786	1129.4
453.197	1136
453.609	1142.6
453.999	1134.2
454.411	1139.2
454.823	1165.4
455.235	1147.2
455.647	1161
456.037	1161.6
456.449	1145
456.862	1164.2
457.274	1167.4
457.665	1153
458.077	1176.2
458.489	1187.2
458.902	1167.2
459.293	1181.2
459.705	1165.4
460.118	1156
460.53	1183.6
460.921	1162.2
461.334	1183.8
461.747	1188.8
462.16	1184.6
462.551	1196
462.964	1182.6
463.377	1165
463.79	1168.8
464.182	1184
464.595	1151.2
465.008	1179.8
465.421	1181.2
465.813	1174.8
466.226	1171.6
466.64	1173.2
467.053	1220.6
467.445	1187.8
467.859	1201.6
468.272	1183.2
468.686	1182.4
469.078	1180
469.492	1155.2
469.906	1172
470.298	1170.6
470.712	1173.4
471.126	1181.2
471.54	1159.6
471.933	1162.2
472.347	1150
472.761	1172.8
473.175	1157.2
473.568	1160.6
473.982	1147.6
474.397	1149.4
474.79	1155.4
475.204	1156
475.619	1150
476.033	1144
476.426	1125.4
476.841	1132.4
477.256	1160
477.649	1136.6
478.064	1128
478.479	1124.2
478.872	1108.8
479.287	1105.4
479.702	1122.4
480.118	1110
480.511	1106.2
480.927	1115.6
481.342	1109
481.736	1096.2
482.151	1087
482.566	1107
482.96	1096.6
483.376	1098.2
483.792	1087.8
484.186	1106.6
484.602	1077.8
485.017	1075.6
485.412	1081.4
485.827	1071.2
486.243	1060.4
486.638	1076
487.054	1068
487.47	1071.2
487.865	1049.6
488.281	1048.4
488.697	1039
489.092	1044
489.508	1024.6
489.925	1037.4
490.32	1002.8
490.736	1032
491.153	1016.2
491.548	1001.2
491.964	1018.6
492.381	992.6
492.776	999.4
493.193	992.4
493.61	1004.4
494.006	980.6
494.422	985.8
494.84	972.4
495.235	996.2
495.652	975
496.069	960.6
496.465	951.6
496.883	970.2
497.3	978.6
497.696	955.8
498.113	961
498.509	939.8
498.927	933
499.344	943.2
499.741	927.6
500.158	932.2
500.576	938.2
500.973	916
501.39	911.2
501.787	903
502.205	917.8
502.623	903.2
503.02	894.6
503.438	897.2
503.856	889.8
504.253	896.2
504.671	894.2
505.068	870.2
505.486	887.4
505.905	891.8
506.302	862.4
506.72	892.6
507.118	860.8
507.536	859.8
507.955	854
508.352	864
508.771	858.2
509.169	848.6
509.587	837
510.006	836.8
510.404	829.8
510.823	829.6
511.221	842.4
511.64	822.8
512.038	839.4
512.457	822.4
512.877	808
513.275	814.2
513.694	801.4
514.092	808.2
514.512	817.6
514.91	807.2
515.33	795.6
515.749	797.2
516.148	794.8
516.568	807
516.966	784.4
517.386	781.6
517.785	783
518.205	779.4
518.603	776.6
519.024	771.8
519.444	782
519.843	774.2
520.263	768
520.662	774
521.082	766.4
521.481	759.6
521.902	764.4
522.301	760.8
522.722	753.6
523.121	747.2
523.542	747.8
523.963	742.6
524.362	745.8
524.783	742
525.183	729.4
525.604	733.4
526.003	723
526.425	727.2
526.824	738
527.246	723.6
527.646	721.8
528.067	724.4
528.467	712.4
528.888	721.8
529.289	718.2
529.71	718.8
530.11	702
530.532	697.4
530.932	694.6
531.354	687
531.755	720.2
532.176	691.6
532.577	690.2
532.999	692.4
533.4	691
533.822	695.8
534.223	686.6
534.645	684
535.046	671.4
535.468	676.4
535.869	686
536.292	671.8
536.693	699.6
537.115	684.8
537.516	672.8
537.939	666
538.34	677.6
538.742	684
539.165	664.6
539.566	669.2
539.989	657.2
540.391	658.2
540.814	661.8
541.216	665.8
541.639	659.2
542.041	656.6
542.464	649.4
542.866	643.2
543.268	646.4
543.691	656
544.093	663
544.517	662.4
544.919	644.4
545.343	664
545.745	636.8
546.147	646.4
546.571	648.2
546.974	627.4
547.398	635.6
547.8	657.6
548.224	622.2
548.627	628.8
549.03	635.4
549.454	623.8
549.857	627.4
550.281	615.4
550.684	617.2
551.087	631.2
551.512	627.8
551.915	626.2
552.34	606.8
552.743	618
553.146	617
553.571	611.6
553.975	623.8
554.399	604.8
554.803	650.6
555.207	607.6
555.632	602.6
556.036	615.8
556.461	609.6
556.865	608.4
557.268	594.2
557.694	601
558.098	612.2
558.502	606.2
558.927	596
559.332	600.6
559.736	602.8
560.162	600.4
560.566	595
560.992	604
561.396	595.6
561.801	596.2
562.227	599.4
562.631	591
563.036	589.2
563.462	595.6
563.867	593.4
564.272	581.8
564.698	584.4
565.103	579.4
565.508	613.8
565.935	592
566.34	581.6
566.745	596.6
567.172	581.4
567.577	597.2
567.982	601.6
568.409	582.6
568.815	575.2
569.22	589.8
569.626	583.4
570.053	567.4
570.459	583
570.865	583.2
571.292	583
571.698	581.2
572.104	563
572.531	568.4
572.937	580.2
573.343	566.8
573.75	579.6
574.177	575.6
574.583	573
574.99	568.6
575.396	570
575.824	567.2
576.231	569.2
576.637	561
577.065	583.6
